h,index,nqubit,SRE,val
0,0,3,0.244722949,0.081574316
0.2,1,3,0.251845057,0.083948352
0.4,2,3,0.458171823,0.152723941
0.6,3,3,0.791738767,0.263912922
0.8,4,3,1.102422285,0.367474095
1,5,3,1.215728691,0.405242897
1.2,6,3,1.137635661,0.379211887
1.4,7,3,0.985738487,0.328579496
1.6,8,3,0.836163316,0.278721105
1.8,9,3,0.712333776,0.237444592
2,10,3,0.61533615,0.20511205
2.2,11,3,0.540374056,0.180124685
2.4,12,3,0.48226723,0.160755743
2.6,13,3,0.436792446,0.145597482
2.8,14,3,0.400776494,0.133592165
3,15,3,0.371895542,0.123965181
3.2,16,3,0.348454826,0.116151609
3.4,17,3,0.329211913,0.109737304
3.6,18,3,0.313247408,0.104415803
3.8,19,3,0.299873365,0.099957788
4,20,3,0.288568998,0.096189666
