h,index,nqubit,SRE,val
0,0,5,0.104458713,0.020891743
0.2,1,5,0.120995829,0.024199166
0.4,2,5,0.362273611,0.072454722
0.6,3,5,0.828558521,0.165711704
0.8,4,5,1.504538151,0.30090763
1,5,5,1.882836925,0.376567385
1.2,6,5,1.610600472,0.322120094
1.4,7,5,1.20591714,0.241183428
1.6,8,5,0.905339257,0.181067851
1.8,9,5,0.702084355,0.140416871
2,10,5,0.562752556,0.112550511
2.2,11,5,0.463958074,0.092791615
2.4,12,5,0.391482685,0.078296537
2.6,13,5,0.336702341,0.067340468
2.8,14,5,0.294234455,0.058846891
3,15,5,0.260601064,0.052120213
3.2,16,5,0.233478203,0.046695641
3.4,17,5,0.21126508,0.042253016
3.6,18,5,0.192828968,0.038565794
3.8,19,5,0.177349175,0.035469835
4,20,5,0.164218605,0.032843721
