h,index,nqubit,SRE,val
0,0,4,0.209509482,0.05237737
0.2,1,4,0.15708337,0.039270843
0.4,2,4,0.374905759,0.09372644
0.6,3,4,0.787862509,0.196965627
0.8,4,4,1.293621754,0.323405439
1,5,4,1.524266569,0.381066642
1.2,6,4,1.361955475,0.340488869
1.4,7,4,1.085287763,0.271321941
1.6,8,4,0.851423417,0.212855854
1.8,9,4,0.679988241,0.16999706
2,10,4,0.557050015,0.139262504
2.2,11,4,0.467817267,0.116954317
2.4,12,4,0.401654615,0.100413654
2.6,13,4,0.351480125,0.087870031
2.8,14,4,0.312617252,0.078154313
3,15,4,0.281937317,0.070484329
3.2,16,4,0.257305028,0.064326257
3.4,17,4,0.23723136,0.05930784
3.6,18,4,0.220655907,0.055163977
3.8,19,4,0.206808474,0.051702118
4,20,4,0.195119411,0.048779853
