h,index,nqubit,SRE,val
0,0,7,0.256832806,0.036690401
0.2,1,7,0.113416175,0.016202311
0.4,2,7,0.426416889,0.060916698
0.6,3,7,0.998785214,0.142683602
0.8,4,7,1.944196443,0.277742349
1,5,7,2.677819929,0.382545704
1.2,6,7,2.126544548,0.303792078
1.4,7,7,1.491954716,0.213136388
1.6,8,7,1.094781274,0.156397325
1.8,9,7,0.843274143,0.120467735
2,10,7,0.673530984,0.096218712
2.2,11,7,0.552630267,0.078947181
2.4,12,7,0.462925477,0.066132211
2.6,13,7,0.394254299,0.056322043
2.8,14,7,0.340375961,0.048625137
3,15,7,0.297252908,0.042464701
3.2,16,7,0.262161812,0.037451687
3.4,17,7,0.233202849,0.033314693
3.6,18,7,0.209013427,0.029859061
3.8,19,7,0.188593303,0.0269419
4,20,7,0.171193531,0.024456219
