h,index,nqubit,SRE,val
0,0,2,0.997446937,0.498723468
0.2,1,2,0.4879901,0.24399505
0.4,2,2,0.664073334,0.332036667
0.6,3,2,0.848496195,0.424248098
0.8,4,2,0.965653544,0.482826772
1,5,2,1,0.5
1.2,6,2,0.976731772,0.488365886
1.4,7,2,0.926052111,0.463026056
1.6,8,2,0.867738242,0.433869121
1.8,9,2,0.811533948,0.405766974
2,10,2,0.76121314,0.38060657
2.2,11,2,0.717648399,0.3588242
2.4,12,2,0.680488438,0.340244219
2.6,13,2,0.648958679,0.32447934
2.8,14,2,0.622211117,0.311105559
3,15,2,0.59946207,0.299731035
3.2,16,2,0.580035474,0.290017737
3.4,17,2,0.563366584,0.281683292
3.6,18,2,0.548990803,0.274495402
3.8,19,2,0.536528403,0.268264201
4,20,2,0.525669505,0.262834752
