h,index,nqubit,SRE,val
0,0,8,0.311861186,0.038982648
0.2,1,8,0.121841795,0.015230224
0.4,2,8,0.476099407,0.059512426
0.6,3,8,1.109638349,0.138704794
0.8,4,8,2.167658779,0.270957347
1,5,8,3.096482186,0.387060273
1.2,6,8,2.385020842,0.298127605
1.4,7,8,1.652141921,0.20651774
1.6,8,8,1.214736469,0.151842059
1.8,9,8,0.939068871,0.117383609
2,10,8,0.75180459,0.093975574
2.2,11,8,0.617413689,0.077176711
2.4,12,8,0.51708312,0.06463539
2.6,13,8,0.43992474,0.054990592
2.8,14,8,0.379186471,0.047398309
3,15,8,0.330456739,0.041307092
3.2,16,8,0.290734693,0.036341837
3.4,17,8,0.257912604,0.032239075
3.6,18,8,0.230470681,0.028808835
3.8,19,8,0.207288648,0.025911081
4,20,8,0.187524992,0.023440624
