h,index,nqubit,SRE,val
0,0,10,0.346377253,0.034637725
0.2,1,10,0.146206281,0.014620628
0.4,2,10,0.586313989,0.058631399
0.6,3,10,1.355123967,0.135512397
0.8,4,10,2.620863513,0.262086351
1,5,10,3.954638784,0.395463878
1.2,6,10,2.899828413,0.289982841
1.4,7,10,1.995909418,0.199590942
1.6,8,10,1.479814719,0.147981472
1.8,9,10,1.151201631,0.115120163
2,10,10,0.924684186,0.092468419
2.2,11,10,0.760402011,0.076040201
2.4,12,10,0.636926537,0.063692654
2.6,13,10,0.541567203,0.05415672
2.8,14,10,0.466301107,0.046630111
3,15,10,0.405812297,0.04058123
3.2,16,10,0.356449246,0.035644925
3.4,17,10,0.315629905,0.031562991
3.6,18,10,0.281483803,0.02814838
3.8,19,10,0.252627695,0.02526277
4,20,10,0.228020149,0.022802015
