infid^{-1},1_Character,1_Cross_Character,Sample#,Variance,Variance(amp),1_Character(amp),1_Cross_Character(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty,N_M,partone_crm,partone_thr,parttwo
12671.613,5.987670589344353e-07,5.925005896770738e-07,8526,9.21143328229295e-09,23.665245558229383,1538.3023518284624,1522.2030620421892,1.4574603139914681,3744385392.0414553,1349048066179,20552931328,9.187281579623461e-09,1.4574603139673163,0.4963882864202569
9950.899,9.718937787684286e-07,9.617234048467117e-07,8534,1.4951666266789928e-08,23.68831822309014,1539.7968828159887,1523.6836918440524,1.4573968760478901,2308992212.716898,831896600710,12674610176,1.4912497216796214e-08,1.457396876008721,0.4964524396345895
7810.622,1.578207497495925e-06,1.5616921868438473e-06,8538,2.427926592230784e-08,23.69882272377899,1540.4773696279706,1524.3568896833065,1.4573160206803497,1422476039.3144455,512497606176,7808744448,2.421567900208157e-08,1.4573160206167628,0.49653401028228505
6132.0234,2.55967419024149e-06,2.5328807221357024e-06,8535,3.937815531360284e-08,23.690976176013464,1539.9700614827866,1523.8503776247742,1.4572132568539642,876699385.142926,315862147273,4813019136,3.9274968945086986e-08,1.4572132567507778,0.4966379662411655
4812.741,4.159059571258495e-06,4.1155460992972716e-06,8543,6.398353915560495e-08,23.71227744343722,1541.3460361675743,1525.2199585343496,1.457081834874458,539994023.1863383,194552060339,2964797184,6.381598272999938e-08,1.4570818347069017,0.4967708187965163
3780.3552,6.744545578676261e-06,6.673982623948959e-06,8547,1.037592519584027e-07,23.725316287847516,1542.18996428433,1526.0552255741718,1.4569150646025775,333134347.63469034,120023501963,1829258880,1.0348759043277842e-07,1.4569150643309159,0.4969392581025558
2967.318,1.0947530485960556e-05,1.0832977591052797e-05,8548,1.6841877880066299e-07,23.726773268658288,1542.2839159731993,1526.1457478657,1.4567022751758076,205219660.47469643,73937684591,1127036928,1.6797766275388096e-07,1.4567022747346916,0.49715407425670244
2329.5217,1.7765212310666623e-05,1.7579271749879427e-05,8549,2.7330333517285795e-07,23.730040091990492,1542.495630754778,1526.3510163488957,1.4564313252199517,126457197.15363577,45560704738,694614016,2.72587214054016e-07,1.4564313245038305,0.4974277663012232
1828.3801,2.885652231306341e-05,2.855473954471843e-05,8555,4.4393755086804116e-07,23.74514612464029,1543.465601485709,1527.3239709382628,1.456085430164734,77882488.7455817,28059937701,427900640,4.427742498781611e-07,1.456085429001433,0.49777723808230734
1435.668,4.681272365818565e-05,4.632312605718189e-05,8556,7.2018310402104e-07,23.75040127319554,1543.8031875024963,1527.6570999015667,1.4556459654812341,48004702.6913831,17295402196,263826256,7.182946595538451e-07,1.4556459635927896,0.4982212334439535
1127.1223,7.593542526250919e-05,7.514110141107758e-05,8555,1.1682185842937112e-06,23.74576653996655,1543.4995681795099,1527.353763801106,1.4550864550506943,29576779.3130864,10656087116,162611808,1.165151241061904e-06,1.455086451983351,0.49878622868071143
885.15436,0.00012309834731550587,0.0001218103554179926,8553,1.8937939832908231e-06,23.740549078155126,1543.1574826345652,1527.0112517747305,1.454375054731673,18232005.524119113,6568728701,100287776,1.8888132687571747e-06,1.4543750497509584,0.4995047834704771
694.3637,0.00020009500446410236,0.00019800152017613947,8555,3.0783593143461646e-06,23.74725020068762,1543.5839840957601,1527.4343114614521,1.453463793046602,11212391.026045367,4039662814,61714044,3.070250550134368e-06,1.4534637849378378,0.5004246313524454
