h,index,nqubit,V_starDelta,V_starrho,VarianceStd
0.0,0,35,1.1641532180660603e-14,1.1409865690516194e-10,1.9998999998841724
0.2,1,35,1.1641532180660603e-14,1.1409865690516194e-10,1.9998999998841724
0.4,2,35,1.1641532180660603e-14,1.1409865690516194e-10,1.9998999998841724
0.6000000000000001,3,35,1.1641532180660603e-14,1.1409865690516194e-10,1.9998999998841724
0.8,4,35,1.1641532180660603e-14,1.1409865690516194e-10,1.9998999998841724
1.0,5,35,1.1641532180660603e-14,1.1409865690516194e-10,1.9998999998841724
1.2000000000000002,6,35,1.1641532180660603e-14,1.1409865690516194e-10,1.9998999998841724
1.4000000000000001,7,35,1.1641532180660603e-14,1.1409865690516194e-10,1.9998999998841724
1.6,8,35,1.1641532180660603e-14,1.1409865690516194e-10,1.9998999998841724
1.8,9,35,1.1641532180660603e-14,1.1409865690516194e-10,1.9998999998841724
2.0,10,35,1.1641532180660603e-14,1.1409865690516194e-10,1.9998999998841724
2.2,11,35,1.1641532180660603e-14,1.1409865690516194e-10,1.9998999998841724
2.4000000000000004,12,35,1.1641532180660603e-14,1.1409865690516194e-10,1.9998999998841724
2.6,13,35,1.1641532180660603e-14,1.1409865690516194e-10,1.9998999998841724
2.8000000000000003,14,35,1.1641532180660603e-14,1.1409865690516194e-10,1.9998999998841724
3.0,15,35,1.1641532180660603e-14,1.1409865690516194e-10,1.9998999998841724
3.2,16,35,1.1641532180660603e-14,1.1409865690516194e-10,1.9998999998841724
3.4000000000000004,17,35,1.1641532180660603e-14,1.1409865690516194e-10,1.9998999998841724
3.6,18,35,1.1641532180660603e-14,1.1409865690516194e-10,1.9998999998841724
3.8000000000000003,19,35,1.1641532180660603e-14,1.1409865690516194e-10,1.9998999998841724
4.0,20,35,1.1641532180660603e-14,1.1409865690516194e-10,1.9998999998841724
