h,index,nqubit,V_starDelta,V_starrho,VarianceStd
0.0,0,58,1.3877787807814457e-21,1.3601619830438949e-17,1.9999
0.2,1,58,1.3877787807814457e-21,1.3601619830438949e-17,1.9999
0.4,2,58,1.3877787807814457e-21,1.3601619830438949e-17,1.9999
0.6000000000000001,3,58,1.3877787807814457e-21,1.3601619830438949e-17,1.9999
0.8,4,58,1.3877787807814457e-21,1.3601619830438949e-17,1.9999
1.0,5,58,1.3877787807814457e-21,1.3601619830438949e-17,1.9999
1.2000000000000002,6,58,1.3877787807814457e-21,1.3601619830438949e-17,1.9999
1.4000000000000001,7,58,1.3877787807814457e-21,1.3601619830438949e-17,1.9999
1.6,8,58,1.3877787807814457e-21,1.3601619830438949e-17,1.9999
1.8,9,58,1.3877787807814457e-21,1.3601619830438949e-17,1.9999
2.0,10,58,1.3877787807814457e-21,1.3601619830438949e-17,1.9999
2.2,11,58,1.3877787807814457e-21,1.3601619830438949e-17,1.9999
2.4000000000000004,12,58,1.3877787807814457e-21,1.3601619830438949e-17,1.9999
2.6,13,58,1.3877787807814457e-21,1.3601619830438949e-17,1.9999
2.8000000000000003,14,58,1.3877787807814457e-21,1.3601619830438949e-17,1.9999
3.0,15,58,1.3877787807814457e-21,1.3601619830438949e-17,1.9999
3.2,16,58,1.3877787807814457e-21,1.3601619830438949e-17,1.9999
3.4000000000000004,17,58,1.3877787807814457e-21,1.3601619830438949e-17,1.9999
3.6,18,58,1.3877787807814457e-21,1.3601619830438949e-17,1.9999
3.8000000000000003,19,58,1.3877787807814457e-21,1.3601619830438949e-17,1.9999
4.0,20,58,1.3877787807814457e-21,1.3601619830438949e-17,1.9999
