h,index,nqubit,V_starDelta,V_starrho,VarianceStd
0.0,0,45,1.1368683772159665e-17,1.1142446965093926e-13,1.999899999999887
0.2,1,45,1.1368683772159665e-17,1.1142446965093926e-13,1.999899999999887
0.4,2,45,1.1368683772159665e-17,1.1142446965093926e-13,1.999899999999887
0.6000000000000001,3,45,1.1368683772159665e-17,1.1142446965093926e-13,1.999899999999887
0.8,4,45,1.1368683772159665e-17,1.1142446965093926e-13,1.999899999999887
1.0,5,45,1.1368683772159665e-17,1.1142446965093926e-13,1.999899999999887
1.2000000000000002,6,45,1.1368683772159665e-17,1.1142446965093926e-13,1.999899999999887
1.4000000000000001,7,45,1.1368683772159665e-17,1.1142446965093926e-13,1.999899999999887
1.6,8,45,1.1368683772159665e-17,1.1142446965093926e-13,1.999899999999887
1.8,9,45,1.1368683772159665e-17,1.1142446965093926e-13,1.999899999999887
2.0,10,45,1.1368683772159665e-17,1.1142446965093926e-13,1.999899999999887
2.2,11,45,1.1368683772159665e-17,1.1142446965093926e-13,1.999899999999887
2.4000000000000004,12,45,1.1368683772159665e-17,1.1142446965093926e-13,1.999899999999887
2.6,13,45,1.1368683772159665e-17,1.1142446965093926e-13,1.999899999999887
2.8000000000000003,14,45,1.1368683772159665e-17,1.1142446965093926e-13,1.999899999999887
3.0,15,45,1.1368683772159665e-17,1.1142446965093926e-13,1.999899999999887
3.2,16,45,1.1368683772159665e-17,1.1142446965093926e-13,1.999899999999887
3.4000000000000004,17,45,1.1368683772159665e-17,1.1142446965093926e-13,1.999899999999887
3.6,18,45,1.1368683772159665e-17,1.1142446965093926e-13,1.999899999999887
3.8000000000000003,19,45,1.1368683772159665e-17,1.1142446965093926e-13,1.999899999999887
4.0,20,45,1.1368683772159665e-17,1.1142446965093926e-13,1.999899999999887
