filename,h,index,nqubit,V_starDelta,V_starrho,VarianceStd
TFIM_n8_h1.000_20250929_171112.npz,1.0,0,8,0.00041251060224401854,4.16532047514627,4.16532047514627
TFIM_n8_h2.000_20250929_171112.npz,2.0,1,8,0.0015982603153962085,16.115999937067812,16.115999937067812
TFIM_n8_h4.000_20250929_171112.npz,4.0,2,8,0.0021889571126749627,22.06938791191672,22.06938791191672
