h,index,nqubit,V_starDelta,V_starrho,VarianceStd
0.0,0,6,0.000667517220063631,6.542336273843633,8.717899371778715
0.2,1,6,0.0007180349750187836,7.037460790159049,7.566390014900209
0.4,2,6,0.0006098905105967641,5.977536894358851,7.581646659436332
0.6000000000000001,3,6,0.0004512766596522939,4.422962541252128,7.691293551599452
0.8,4,6,0.00029297931532002043,2.871490269451491,8.076945745808676
1.0,5,6,0.00025228862763417606,2.4726808394425728,8.730849746529554
1.2000000000000002,6,6,0.00034871438194465935,3.4177496574396113,9.293050754808128
1.4000000000000001,7,6,0.0004799033073926579,4.703532315755437,9.634266838875202
1.6,8,6,0.0005909417039451665,5.791819640366555,9.8314670112728
1.8,9,6,0.0006754649190290713,6.620231671403911,9.952093992113292
2.0,10,6,0.0007390883460235852,7.243804879377128,10.030997403154856
2.2,11,6,0.0007876455814152023,7.719714343450357,10.085575345190957
2.4000000000000004,12,6,0.0008254077398993363,8.089821258753362,10.12502451131196
2.6,13,6,0.0008553153748196295,8.382945988607112,10.154545491619745
2.8000000000000003,14,6,0.0008793930127193611,8.618930917662437,10.177261189128386
3.0,15,6,0.0008990580419995267,8.81166786963746,10.195143738751012
3.2,16,6,0.0009153233386137319,8.971084041753246,10.209491738862797
3.4000000000000004,17,6,0.0009289274299389267,9.104417740831478,10.22119066466422
3.6,18,6,0.0009404188797810156,9.217045440733749,10.230862346803404
3.8000000000000003,19,6,0.0009502120161753204,9.31302797053425,10.238954588661011
4.0,20,6,0.0009586245035892692,9.395478759678502,10.24579694335471
