infid^{-1},Sample#,Variance,Variance(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty,partone_crm,partone_thr,parttwo,,0,2,4,6,,0,2,4,6,,1,4,7,,,,1,4,7
34.837353,22884,0.00163552,1.984934004,1.842428836,2236.047393,25779700,1.9847987,2236.047258,135.2924641,,791266.1426,19238.63734,11518.36228,11441.15953,,13668402.16,12896374.65,12888654.38,12888577.17,,89438.47006,11520.36061,11442.4425,,,,12968808.55,12890890.44,12890812.52
29.182487,22884,0.002330755,1.984911507,1.821217143,1550.980417,17881468,1.9847987,1550.980304,112.8471235,,661891.1994,17944.8879,11505.42479,11441.03016,,9590301.292,8946354.98,8939915.517,8939851.123,,76498.7312,11507.42087,11442.42956,,,,9006457.819,8941466.509,8941401.518
24.445501,22884,0.003321538,1.984892794,1.796055771,1073.291484,12374126,1.9847988,1073.291389,94.04499533,,553515.7333,16861.13381,11494.58782,11440.92236,,6728526.922,6191872.323,6186505.777,6186452.111,,65659.30489,11496.58202,11442.4193,,,,6241741.797,6187579.075,6187524.912
20.47745,22883,0.004733494,1.984877002,1.766248012,740.6336752,8538868,1.9847987,740.6335969,78.2949207,,462732.3026,15953.29894,11485.5089,11440.831,,4720303.975,4273524.972,4269057.182,4269012.504,,56579.38629,11487.50153,11442.40964,,,,4314889.708,4269797.823,4269752.731
17.153513,22883,0.006745663,1.984863961,1.730990941,509.3319572,5872158,1.9847989,509.3318921,65.10139862,,386684.8425,15192.82548,11477.90531,11440.7561,,3311033.487,2939541.47,2935826.55,2935789.401,,48973.32196,11479.89661,11442.40319,,,,2973829.314,2936335.889,2936298.395
14.369111,22883,0.009613213,1.984853219,1.689367147,348.8059349,4021431,1.9847991,348.8058809,54.04952238,,322981.829,14555.79648,11471.53616,11440.69355,,2322058.544,2013632.512,2010548.252,2010517.409,,42601.91646,11473.52636,11442.39797,,,,2042025.453,2010897.063,2010865.935
12.036687,22883,0.01369974,1.984843518,1.640341114,237.6556341,2739964,1.9847987,237.6555894,44.79159881,,269619.1553,14022.16746,11466.19758,11440.63789,,1628025.593,1372428.605,1369872.635,1369847.075,,37264.72122,11468.18686,11442.39033,,,,1395906.83,1370110.295,1370084.499
10.082862,22883,0.019523471,1.98483602,1.582760115,160.9098769,1855152,1.984799,160.9098399,37.03640001,,224918.1911,13575.15953,11461.72922,11440.59491,,1140962.127,929619.0952,927505.6649,927484.5306,,32793.85084,11463.71772,11442.38759,,,,948996.7116,927666.5785,927645.2484
8.446186,22883,0.027822874,1.984829623,1.515368416,108.1034296,1246339,1.984799,108.1033991,30.54004837,,187473.2203,13200.70982,11457.98472,11440.55747,,799140.8313,624868.3208,623125.5957,623108.1685,,29048.70412,11459.97257,11442.38384,,,,640822.4337,623233.7021,623216.1134
7.075182,22883,0.039650327,1.984823887,1.436837786,71.92550933,829239,1.9847988,71.92548423,25.09823256,,156106.5927,12887.04241,11454.8469,11440.52495,,559244.7036,416025.1532,414592.9577,414578.6358,,25911.49615,11456.83421,11442.37955,,,,429119.5477,414664.8857,414650.4311
