infid^{-1},3_Character,3_Cross_Character,Sample#,Variance,Variance(amp),3_Character(amp),3_Cross_Character(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty
101.52381,0.0051735389007501,0.0050721366083684,5366,9.031643607905296e-05,14.894386323061555,853.1856480443248,836.4630559852764,0.790650393337931,130388.80757593332,46977207
92.47823,0.0062362356828089,0.0061144472054841,5250,0.0001064977021794,14.572674526386344,853.3389079354595,836.6739113693595,0.7891063292582656,107977.81987465011,38902851
84.08031,0.0075495937958866,0.0074035608496582,5155,0.0001265019122999,14.308879684885904,853.9493777686463,837.4313044872152,0.7873707820724993,89061.0551511213,32087413
76.11856,0.0092627818188256,0.0090880460795881,5097,0.0001526230989739,14.14885775518807,858.7021443869795,842.5033439705317,0.7853199740083666,72802.74532002406,26229779
69.20837,0.0112322046193883,0.0110214908319989,5042,0.0001826226797595,13.995613027853024,860.7999264362206,844.6515015427813,0.7831911945145389,60021.24653782552,21624789
63.18293,0.0134333393985391,0.0131790800297118,4973,0.0002161139848194,13.803917733312913,858.0319875920624,841.7915975351767,0.7810289162742408,49886.90998684483,17973534
57.43183,0.0162746773108263,0.015967719434608,4931,0.0002593800041151,13.68868669268383,858.8902583004949,842.6906664709766,0.7784859470172011,41084.31665628896,14802086
52.5495,0.019296450030377,0.0189188168489418,4859,0.0003052550917639,13.487146414871624,852.5788885062557,835.8938465641245,0.7760300621770184,34287.49053928424,12353288
48.868145,0.0219725506589943,0.021382207042822,4745,0.0003446819664656,13.17013594225501,839.5608338444589,817.0040817249453,0.7741208735549093,29578.794750991638,10656813
43.515583,0.0282031933090384,0.0276603479884873,4812,0.0004408575334285,13.356967514527248,854.4917763003267,838.044813818765,0.7697315372148621,23321.092094146745,8402253
39.450924,0.0344935237177462,0.0338436259045875,4815,0.0005367158900517,13.365303639221302,858.9580197260145,842.7742588791076,0.7658796002764123,19071.940291896684,6871345
35.93167,0.0415666847079263,0.0407788930343015,4795,0.0006443378762864,13.310319590188447,858.6579776371464,842.3842812856772,0.7619676130175943,15740.239430110923,5670981
33.635696,0.0463837292792551,0.0452897429215414,4668,0.0007158335172002,12.957846635960092,839.6271422931608,819.8240636380408,0.7595984155561447,13750.068329004796,4953951
30.161505,0.0582098117994861,0.0569895235685978,4701,0.000896613956328,13.050629734597118,847.2706624229207,829.5088043139624,0.7539884637868043,10974.64989875685,3954008
27.05553,0.073410812398837,0.0720292832444109,4764,0.0011290621463684,13.223607773741964,859.7895099364657,843.6090014278062,0.7475911323498509,8755.808474421792,3154591
24.722149,0.0875185589753524,0.0858259250105497,4732,0.0013433621352759,13.136676437126036,855.8399565628673,839.2877669944629,0.7423076416286533,7258.992232112363,2615310
22.477634,0.1061226579396582,0.1040996700895506,4737,0.001626676406853,13.149896573906162,857.8854221868664,841.531781790343,0.7359520841196391,5949.36629605787,2143470
20.500595,0.127232545096779,0.1247966953375497,4718,0.0019477649548916,13.09753313220076,855.561381117466,839.1817749198875,0.7294239156539971,4904.931613388297,1767176
18.808327,0.1494140405338839,0.1462567849972832,4654,0.0022827091961223,12.920250370041968,845.6910831115458,827.8208558901474,0.7232280574579744,4093.5076587369954,1474831
16.907898,0.1881497470664095,0.1846184125259127,4738,0.0028753307357168,13.151854327518215,860.6029332343626,844.4504966184861,0.713262856447785,3262.4870136520763,1175427
15.477251,0.2229289566213014,0.2185951480176852,4699,0.0034032245752351,13.04362345764037,854.4253556267183,837.8150596226275,0.7053193186983541,2703.2948919819764,973958
14.018313,0.2736083040146686,0.268452178997097,4730,0.004175689633109,13.129245155042533,860.2819690862334,844.0700291783953,0.6947798920630196,2184.533893362576,787056
13.199213,0.30462187678214,0.2965475293633076,4648,0.0046289663903307,12.90327892292587,849.1357920324588,826.6284873599881,0.6893092072973336,1921.454643627896,692272
11.61709,0.397934264345013,0.3904425676816274,4720,0.0060675802605688,13.101778004295172,859.2628639183579,843.0859791728736,0.6727999684087258,1452.7827319685982,523416
10.711984,0.4598993336474297,0.4503470970853855,4631,0.0070024069357841,12.85603749395871,844.3501114743312,826.8127257555375,0.6633812585019528,1217.9318354818763,438803
9.68959,0.5681811039993242,0.5571184580078988,4684,0.0086548279675618,13.001374235225384,853.527671972864,836.9092480012487,0.6481979680640956,973.7298526209812,350820
8.760985,0.7003259748229311,0.6871498689945569,4720,0.0106691797918217,13.102582094123944,860.0547330544166,843.8734509253561,0.6317539818405832,775.8429956069317,279525
7.9783115,0.8438376716213862,0.8279505592561254,4716,0.0128527926340933,13.089993956969575,859.4108950989379,843.2305823236956,0.6158268463077382,627.1920761659867,225968
7.25925,1.0204339873495147,1.0012545894585965,4720,0.0155403820674494,13.102833212299432,860.3762946348704,844.2052345807289,0.5982262339220601,504.3929121099948,181725
6.622304,1.2194667905782128,1.1960331259118906,4693,0.0185640798502311,13.026016353085945,855.6736711041032,839.2307716111642,0.5804453345400605,407.2860319924292,146739
6.015745,1.485110816253638,1.4571788908394967,4716,0.0226109822451268,13.092371199129271,859.9193908272164,843.7460494011867,0.5591081496453182,323.73876359097346,116638
5.598276,1.6793476386884876,1.639966685218048,4607,0.025501042890016,12.787526046352191,842.1107232056266,822.3631007101329,0.5455191518589422,273.5511795837696,98556
5.129919,2.0038458323598345,1.9590610427874464,4618,0.0304437300215189,12.81855002801616,843.7336040091011,824.876648398798,0.5238509924508108,220.571202977105,79468
4.5373898,2.6091349585651105,2.559991575191149,4713,0.0397137613084161,13.08197007131857,859.4659461970032,843.2777975724292,0.4883421689624434,160.86307185352496,57956
4.1327662,3.1462358620194752,3.087013887586253,4714,0.0478867071344416,13.08629163924438,859.7910050621051,843.60705600273,0.4614016992585769,126.09004796234804,45428
3.762423,3.7936900439900167,3.722229844668422,4711,0.0577376308878913,13.077183071951616,859.2451484513874,843.0598963979883,0.4327113124030605,98.00618699763784,35310
