infid^{-1},Sample#,Variance,Variance(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty,partone_crm,partone_thr,parttwo,,0,2,4,6,,0,2,4,6,,1,4,7,,1,4,7
24.45259,2742,0.000397819,0.237867413,0.22285604,133.2521336,1536282,0.23683265,133.2510989,1034.762983,,5966773.937,61019.4262,1961.881087,1371.305636,,6733601.182,827846.6711,768789.126,768198.5506,,597906.1999,1961.881087,1365.936768,,1364733.445,768789.126,768193.1817
20.48345,2738,0.0005662,0.237561563,0.219292709,92.00902776,1060784,0.23683417,92.00830036,727.40057,,4194829.635,43299.99185,1784.695419,1369.542454,,4723892.138,572362.4944,530847.198,530432.045,,420711.7776,1784.695419,1365.768336,,949774.2802,530847.198,530428.2709
17.1586,2736,0.00080616,0.237347631,0.215077832,63.32269216,730056,0.23683618,63.32218071,511.452445,,2949888.706,30850.59403,1660.212912,1368.309101,,3313575.717,394537.6052,365347.2241,365055.3203,,296217.6951,1660.212912,1365.65543,,659904.7063,365347.2241,365052.6666
14.373395,2734,0.001148126,0.237196563,0.210101723,43.4058591,500432,0.23683687,43.4054994,359.690669,,2074982.071,22101.53162,1572.726226,1367.438172,,2323849.411,270968.8711,250440.0657,250234.7777,,208727.0352,1572.726226,1365.571917,,457594.3747,250440.0657,250232.9114
12.040316,2733,0.001635462,0.237091631,0.204240463,29.60857377,341361,0.23683862,29.60832076,253.0096217,,1459965.844,15951.37934,1511.234691,1366.833245,,1629292.438,185277.9739,170837.8292,170693.4278,,147225.4216,1511.234691,1365.520504,,316552.0161,170837.8292,170692.115
10.085929,2732,0.002329964,0.237017845,0.197356162,20.07624322,231461,0.23683986,20.07606523,177.9911181,,1027484.178,11626.56975,1467.993672,1366.407912,,1141857.312,125999.704,115841.1279,115739.5422,,103977.2614,1467.993672,1365.484405,,218350.3956,115841.1279,115738.6187
8.448768,2732,0.003319699,0.236965693,0.189298498,13.51244341,155786,0.23684047,13.51231819,125.2164512,,723238.2265,8584.113721,1437.572594,1366.107182,,799771.3555,85117.24278,77970.70165,77899.23624,,73552.66943,1437.572594,1365.457497,,150085.7985,77970.70165,77898.58655
7.077358,2731,0.004730171,0.236929506,0.179908396,9.011430474,103894,0.23684144,9.011342402,88.07261341,,509104.0072,6442.777065,1416.164763,1365.89864,,559689.0053,57027.77511,52001.16281,51950.89669,,52139.25253,1416.164763,1365.441675,,102724.2506,52001.16281,51950.43972
5.9285545,2731,0.006740237,0.236904213,0.169024989,5.940849174,68492,0.2368423,5.940787259,61.91493716,,358305.0086,4934.791987,1401.089821,1365.752799,,391188.2513,37818.03468,34284.33251,34248.99549,,37059.35713,1401.089821,1365.431553,,69942.59982,34284.33251,34248.67424
4.966223,2731,0.009604783,0.236886293,0.156497607,3.859758064,44499,0.23684281,3.859714582,43.48152015,,252036.3625,3872.108436,1390.465896,1365.649471,,272922.2182,24757.9642,22276.32166,22251.50524,,26432.49517,1390.465896,1365.423867,,47318.35093,22276.32166,22251.27963
4.1600986,2730,0.01368705,0.236873843,0.142205355,2.461065646,28373,0.23684336,2.461035165,30.48105246,,177088.6694,3122.634645,1382.974297,1365.577694,,189911.1352,15945.1004,14205.44005,14188.04345,,18937.72871,1382.974297,1365.419543,,31760.19447,14205.44005,14187.8853
3.4848228,2730,0.019504701,0.23686491,0.126087928,1.531210616,17653,0.2368436,1.531189312,21.30352304,,124180.2137,2593.551457,1377.684835,1365.526169,,131642.1167,10055.45449,8839.587865,8827.429198,,13646.88439,1377.684835,1365.415635,,21108.78742,8839.587865,8827.318665
2.9191606,2730,0.027795439,0.236858793,0.108193086,0.921967235,10629,0.23684397,0.921952417,14.81756644,,86788.67601,2219.638192,1373.947814,1365.49091,,90738.32621,6169.288389,5323.598011,5315.141107,,9907.73254,1373.947814,1365.414029,,13857.38274,5323.598011,5315.064226
2.4453168,2730,0.039610588,0.236854452,0.088748501,0.530678256,6118,0.23684423,0.530668028,10.22774034,,60328.33005,1955.036217,1371.303278,1365.465949,,62022.22424,3648.930412,3065.197474,3059.360144,,7261.699292,1371.303278,1365.412882,,8955.593487,3065.197474,3059.307078
2.0483882,2730,0.056448375,0.23685144,0.06826915,0.28645017,3302,0.23684447,0.286443195,6.974716192,,41574.64722,1767.500758,1369.429293,1365.448579,,41860.58387,2053.437408,1655.365943,1651.385228,,5386.332254,1369.429293,1365.41239,,5672.268904,1655.365943,1651.34904
1.7158898,2730,0.080443968,0.236849407,0.047716392,0.140490324,1619,0.23684475,0.140485659,4.664977146,,28259.00323,1634.345916,1368.099343,1365.436877,,27703.49307,1078.835757,812.5891835,809.9267177,,4054.769308,1368.099343,1365.412673,,3499.259149,812.5891835,809.9025135
1.4373629,2730,0.114640104,0.236847849,0.028731781,0.059360208,684,0.23684482,0.059357187,3.021539195,,18784.58385,1539.602122,1367.152305,1365.427806,,17761.36764,516.3859176,343.9361004,342.2116022,,3107.327733,1367.152305,1365.412129,,2084.111529,343.9361004,342.195925
1.2040472,2730,0.163373092,0.236846805,0.013978838,0.020265535,233,0.23684496,0.020263686,1.849332497,,12026.81304,1472.025213,1366.477335,1365.421856,,10778.22199,223.4341682,117.88629,116.8308112,,2431.551379,1366.477335,1365.412261,,1182.960334,117.88629,116.8212159
1.0086037,2730,0.232822607,0.236846087,0.007640318,0.007772353,89,0.23684508,0.007771342,1.010873886,,7193.099839,1423.688766,1365.994655,1365.417714,,5872.489739,103.0786662,45.38455543,44.80761432,,1948.180681,1365.994655,1365.412469,,627.5705819,45.38455543,44.8023694
