p,sample_4D,sample_Clifford,sample_Pauli
0.001,1.0,1.0,7964541.0
0.01,1.0,1.0,876004.0
0.05,1.0,1.0,807778.0
0.1,1.0,1.0,805700.0
0.3,1.0,1.0,805110.0
0.5,1.0,1.0,805069.0
0.7,1.0,1.0,805059.0
0.9,1.0,1.0,805055.0
