p,sample_4D,sample_Clifford,sample_Pauli
0.001,1.0,1.0,5487946.0
0.01,1.0,1.0,762264.0
0.05,1.0,1.0,716779.0
0.1,1.0,1.0,715394.0
0.3,1.0,1.0,715001.0
0.5,1.0,1.0,714973.0
0.7,1.0,1.0,714967.0
0.9,1.0,1.0,714965.0
