p,sample_4D,sample_Clifford,sample_Pauli
0.001,7.0,361.0,17965.0
0.01,6.0,360.0,17929.0
0.05,6.0,360.0,17929.0
0.1,6.0,360.0,17929.0
0.3,6.0,360.0,17929.0
0.5,6.0,360.0,17929.0
0.7,6.0,360.0,17929.0
0.9,6.0,360.0,17929.0
