p,sample_4D,sample_Clifford,sample_Pauli
0.001,5042.0,2881.0,20165.0
0.01,5042.0,2881.0,20165.0
0.05,5042.0,2881.0,20165.0
0.1,5042.0,2881.0,20165.0
0.3,5042.0,2881.0,20165.0
0.5,5042.0,2881.0,20165.0
0.7,5042.0,2881.0,20165.0
0.9,5042.0,2881.0,20165.0
