p,sample_4D,sample_Clifford,sample_Pauli
0.001,1.0,1.0,1022716.0
0.01,1.0,1.0,400419.0
0.05,1.0,1.0,394429.0
0.1,1.0,1.0,394247.0
0.3,1.0,1.0,394195.0
0.5,1.0,1.0,394192.0
0.7,1.0,1.0,394191.0
0.9,1.0,1.0,394190.0
