p,sample_4D,sample_Clifford,sample_Pauli
0.001,1.0,1.0,1386980.0
0.01,1.0,1.0,453527.0
0.05,1.0,1.0,444543.0
0.1,1.0,1.0,444269.0
0.3,1.0,1.0,444191.0
0.5,1.0,1.0,444186.0
0.7,1.0,1.0,444185.0
0.9,1.0,1.0,444184.0
