p,sample_4D,sample_Clifford,sample_Pauli
0.001,1.0,28.0,64018.0
0.01,1.0,28.0,62600.0
0.05,1.0,28.0,62587.0
0.1,1.0,28.0,62586.0
0.3,1.0,28.0,62586.0
0.5,1.0,28.0,62586.0
0.7,1.0,28.0,62586.0
0.9,1.0,28.0,62586.0
