p,sample_4D,sample_Clifford,sample_Pauli
0.001,2861.0,2775.0,7203.0
0.01,2860.0,2774.0,7202.0
0.05,2860.0,2774.0,7202.0
0.1,2860.0,2774.0,7202.0
0.3,2860.0,2774.0,7202.0
0.5,2860.0,2774.0,7202.0
0.7,2860.0,2774.0,7202.0
0.9,2860.0,2774.0,7202.0
