p,sample_4D,sample_Clifford,sample_Pauli
0.001,2.0,154.0,28079.0
0.01,1.0,154.0,27956.0
0.05,1.0,154.0,27955.0
0.1,1.0,154.0,27955.0
0.3,1.0,154.0,27955.0
0.5,1.0,154.0,27955.0
0.7,1.0,154.0,27955.0
0.9,1.0,154.0,27955.0
