infid^{-1},3_Character,3_Cross_Character,Sample#,Variance,Variance(amp),3_Character(amp),3_Cross_Character(amp),unamed1,unamed2
102.60102,0.010942864,0.010823662,10313,0.00016996259,28.627056,1843.1232,1823.0459,(1.7590128+9.74012e-16j),296273.2
93.08006,0.013294196,0.013164017,10297,0.0002061774,28.580801,1842.873,1824.8274,(1.7590127+8.0907724e-16j),243838.52
83.752075,0.016423441,0.01627805,10285,0.00025436914,28.54799,1843.212,1826.8948,(1.7590125+6.223111e-16j),197414.95
77.156494,0.019341793,0.019146625,10262,0.00029903624,28.483198,1842.3054,1823.7157,(1.7590122+4.1525893e-16j),167545.89
69.51376,0.023833567,0.023618976,10257,0.00036823007,28.469564,1842.683,1826.0919,(1.759012+1.6155965e-16j),135997.33
63.100708,0.028936675,0.028681714,10253,0.00044669982,28.457989,1843.4741,1827.2313,(1.7590116-8.510525e-17j),112061.68
57.357613,0.035028167,0.03472055,10247,0.00054033275,28.442213,1843.8241,1827.6317,(1.7590111-3.8824054e-16j),92591.41
52.29838,0.042123333,0.041749217,10238,0.00064935203,28.4169,1843.3984,1827.0265,(1.7590107-6.882317e-16j),76977.71
47.54692,0.050975945,0.05052583,10235,0.0007854306,28.410086,1843.8688,1827.5875,(1.7590101-1.0619772e-15j),63625.773
43.539413,0.060764372,0.06020219,10224,0.00093567395,28.37982,1843.0374,1825.9857,(1.7590095-1.3322321e-15j),53352.316
40.03287,0.07185999,0.07111833,10213,0.0011055757,28.349276,1842.6406,1823.6229,(1.7590088-1.6000889e-15j),45104.668
36.183292,0.08797605,0.08713506,10215,0.0013536058,28.354916,1842.8953,1825.2784,(1.7590077-2.299245e-15j),36847.15
32.75802,0.107336245,0.106380224,10216,0.0016515964,28.35693,1842.8997,1826.4852,(1.7590064-2.4249401e-15j),30201.096
29.771912,0.12996876,0.12881762,10216,0.0019994853,28.356436,1843.1997,1826.8744,(1.7590048-3.2213343e-15j),24945.973
27.102165,0.15682538,0.15542655,10213,0.0024121767,28.348955,1843.0804,1826.6407,(1.759003-3.5017498e-15j),20672.574
24.647982,0.18964241,0.18796606,10214,0.0029166562,28.350971,1843.394,1827.0994,(1.7590009-4.213998e-15j),17098.137
22.426556,0.22910756,0.22709452,10215,0.0035233106,28.352806,1843.6758,1827.4763,(1.7589983-5.6366286e-15j),14155.021
20.4296,0.27606165,0.27360803,10212,0.0042447704,28.346138,1843.5111,1827.1261,(1.758995-5.1320723e-15j),11746.387
18.572777,0.3340702,0.33114055,10214,0.0051366184,28.34986,1843.7896,1827.6204,(1.7589912-7.240253e-15j),9708.168
16.912312,0.40287134,0.39932406,10212,0.006193981,28.346262,1843.7086,1827.4747,(1.7589866-6.6475446e-15j),8049.8623
15.384024,0.48690438,0.48263517,10212,0.0074856854,28.345976,1843.7562,1827.5901,(1.758981-9.612098e-15j),6660.717
14.067611,0.58206606,0.5768234,10206,0.00894723,28.330177,1843.0325,1826.4324,(1.7589747-9.763088e-15j),5569.5522
12.784024,0.70499563,0.6986929,10209,0.010836805,28.337166,1843.4934,1827.0123,(1.7589664-1.1455317e-14j),4599.522
11.648766,0.8489806,0.8412911,10207,0.013048882,28.330425,1843.2217,1826.5271,(1.7589568-1.2279813e-14j),3818.8708
10.592546,1.0267754,1.0176715,10208,0.015782708,28.333632,1843.3005,1826.9569,(1.758945-1.0808998e-14j),3157.7153
9.620129,1.2451546,1.234229,10211,0.019139936,28.341461,1843.7627,1827.5846,(1.7589304-1.4382362e-14j),2604.5364
8.840797,1.4730752,1.459285,10198,0.022636278,28.30791,1842.1616,1824.9163,(1.7589151-1.4822036e-14j),2199.62
7.9983983,1.8009043,1.7847278,10207,0.027678857,28.331802,1843.3877,1826.8296,(1.7588931-1.8579342e-14j),1800.3855
7.2600136,2.1861699,2.1668751,10209,0.033602424,28.337757,1843.6512,1827.3795,(1.7588675-1.9104948e-14j),1483.2965
6.6351027,2.6168103,2.5930521,10206,0.040216,28.327888,1843.2642,1826.529,(1.7588387-2.1696715e-14j),1238.9146
6.021744,3.1772609,3.1492352,10208,0.04883514,28.333284,1843.3905,1827.1306,(1.7588011-2.4876021e-14j),1020.4253
5.492274,3.81954,3.7850678,10207,0.058700655,28.331352,1843.4673,1826.8296,(1.7587583-2.863631e-14j),848.8492
5.042649,4.530912,4.4850187,10201,0.06959424,28.314623,1843.4149,1824.7432,(1.7587107-2.9407266e-14j),715.5367
4.5418277,5.584966,5.5353436,10207,0.08583777,28.330853,1843.3245,1826.9465,(1.7586403-2.9389397e-14j),580.4412
4.135744,6.7354374,6.6761737,10207,0.10352395,28.331404,1843.2875,1827.0687,(1.7585633-2.967286e-14j),481.26608
3.7683344,8.112582,8.040262,10206,0.124683,28.328663,1843.2233,1826.7917,(1.7584713-3.634118e-14j),399.53433
3.4325387,9.777615,9.689284,10205,0.1502636,28.327265,1843.248,1826.5963,(1.7583599-3.1577104e-14j),331.481
3.129613,11.759365,11.653901,10203,0.18072474,28.321667,1842.8292,1826.3018,(1.7582273-4.0751233e-14j),275.53467
2.8425708,14.259285,14.13204,10207,0.21914986,28.332422,1843.4878,1827.0371,(1.7580605-4.014538e-14j),227.2879
2.5826948,17.275291,17.1237,10209,0.2655222,28.337858,1843.7054,1827.5267,(1.757859-4.0348926e-14j),187.6075
2.3486917,20.891499,20.708353,10210,0.32110468,28.341223,1843.9178,1827.753,(1.7576174-4.4020204e-14j),155.13019
2.1416216,25.122084,24.900343,10208,0.38611683,28.335066,1843.5765,1827.3041,(1.7573344-4.154474e-14j),128.96146
1.9462689,30.423557,30.156376,10210,0.46760887,28.340563,1843.8931,1827.6998,(1.7569804-4.5258414e-14j),106.48603
1.77716,36.474342,36.150673,10206,0.56058186,28.327753,1843.1495,1826.7936,(1.756575-4.6432578e-14j),88.764595
1.6282827,43.42465,43.029865,10199,0.66732734,28.308607,1842.1115,1825.3644,(1.7561088-4.5656614e-14j),74.49567
1.4724617,53.133553,52.660362,10206,0.81660676,28.328333,1843.2189,1826.8037,(1.7554613-3.274345e-14j),60.89748
1.3407222,64.0911,63.517796,10206,0.984993,28.328966,1843.297,1826.8083,(1.7547289-2.9444857e-14j),50.467014
1.2270787,76.50302,75.770485,10202,1.1753725,28.316547,1843.0765,1825.4286,(1.7538985-2.6528064e-14j),42.25414
1.1077923,93.90355,93.08018,10210,1.4432994,28.339554,1843.8202,1827.6531,(1.7527376-1.5559062e-14j),34.41545
1.0486383,104.91959,103.359055,10190,1.6076581,28.285585,1845.9845,1818.528,(1.7520095-8.737976e-15j),30.825342
