infid^{-1},3_Character,3_Cross_Character,Sample#,Variance,Variance(amp),3_Character(amp),3_Cross_Character(amp),unamed1,unamed2
100.77617,0.011346289,0.011246789,10323,0.00017634364,28.654675,1843.6968,1827.5287,(1.759013-6.928125e-17j),285827.97
92.5517,0.013442382,0.013317581,10295,0.00020850652,28.576458,1842.3197,1825.2153,(1.7590128+9.569456e-17j),241078.1
83.536064,0.016512424,0.016367417,10287,0.00025574607,28.55466,1843.6516,1827.4612,(1.7590127-1.7367218e-17j),196397.97
76.309326,0.01978442,0.019608814,10272,0.00030602195,28.512007,1843.3108,1826.9496,(1.7590125-3.002154e-17j),163886.86
69.46052,0.023873147,0.023660433,10258,0.00036885586,28.474277,1842.9166,1826.496,(1.7590122-1.6706636e-17j),135789.1
63.081253,0.028955624,0.028700978,10253,0.00044699485,28.45923,1843.5442,1827.3314,(1.7590119-2.464695e-18j),111992.62
57.603382,0.03471803,0.034398943,10242,0.0005354551,28.427526,1843.194,1826.2535,(1.7590115+3.1227243e-17j),93386.625
52.1962,0.04229556,0.041924275,10240,0.0006520333,28.422846,1843.7097,1827.525,(1.7590109-4.1008306e-17j),76677.21
47.76051,0.050484538,0.050031826,10227,0.0007778216,28.388199,1842.5371,1826.0145,(1.7590104+1.5116352e-16j),64198.707
43.38247,0.061209198,0.060665105,10227,0.00094268174,28.386618,1843.1694,1826.7853,(1.7590097-1.1591506e-16j),52968.395
39.940426,0.072181165,0.07148285,10215,0.0011108692,28.353607,1842.3378,1824.5142,(1.759009-2.7390867e-17j),44896.598
35.933674,0.08921551,0.08842116,10220,0.0013731031,28.367844,1843.1621,1826.7511,(1.7590078+1.2868706e-16j),36340.504
32.681507,0.10787159,0.10692112,10220,0.0016599062,28.36663,1843.4497,1827.2068,(1.7590066-4.4021896e-16j),30060.186
29.770327,0.13000593,0.12883921,10217,0.00199994,28.359863,1843.5304,1826.986,(1.7590051+3.8414966e-17j),24943.318
27.473368,0.1525602,0.15096359,10202,0.0023447939,28.317078,1842.4047,1823.123,(1.7590036-3.7918888e-16j),21242.738
24.633831,0.18987711,0.1881989,10215,0.002920266,28.35348,1843.5569,1827.2628,(1.7590011-3.2982394e-16j),17078.514
22.456121,0.22848053,0.22646192,10213,0.0035135858,28.349152,1843.4812,1827.1942,(1.7589985+7.0672353e-16j),14192.372
20.440725,0.27575684,0.2733133,10212,0.004240142,28.346079,1843.4818,1827.1465,(1.7589954-5.1090936e-17j),11759.187
18.575346,0.33396044,0.33103192,10213,0.0051349318,28.348396,1843.694,1827.5265,(1.7589915-5.647691e-17j),9710.856
17.296722,0.38516974,0.38111186,10204,0.005916746,28.322432,1843.7405,1824.316,(1.758988-2.6086577e-16j),8419.969
15.514721,0.47838843,0.47393596,10202,0.0073527726,28.317772,1842.4198,1825.272,(1.7589818-8.854428e-16j),6774.376
14.073051,0.58170825,0.57636946,10207,0.008940967,28.332245,1843.3242,1826.4066,(1.7589749+9.974993e-17j),5573.8613
13.005403,0.68124974,0.6735035,10197,0.010459028,28.304722,1843.6306,1822.6674,(1.7589682-6.712786e-16j),4760.204
11.6032715,0.856042,0.84850204,10212,0.01315908,28.346952,1844.0637,1827.8213,(1.7589567+9.2722215e-17j),3789.0994
10.59145,1.026931,1.0178174,10207,0.015785031,28.331934,1843.1984,1826.8406,(1.7589452+2.1779161e-16j),3157.062
9.671788,1.2312393,1.2200885,10204,0.018923324,28.322458,1842.7908,1826.1013,(1.7589315-2.2068035e-15j),2632.5854
8.76849,1.4987447,1.4854444,10210,0.023036445,28.339033,1843.7297,1827.3679,(1.7589138+1.4356935e-17j),2163.7852
7.9843826,1.8072937,1.7913415,10208,0.027779242,28.33499,1843.4501,1827.1788,(1.758893-2.4739454e-15j),1794.0812
7.2830043,2.1719167,2.152436,10206,0.03338091,28.329525,1843.2502,1826.7174,(1.7588686+1.893946e-15j),1492.7068
6.6242046,2.6250095,2.6015654,10205,0.040344983,28.325462,1842.9705,1826.5107,(1.7588383-5.622774e-16j),1234.8477
6.020404,3.1785576,3.150336,10207,0.048853632,28.331404,1843.3225,1826.956,(1.7588013+2.554421e-15j),1019.97144
