infid^{-1},3_Character,3_Cross_Character,Sample#,Variance,Variance(amp),3_Character(amp),3_Cross_Character(amp),unamed1,unamed2
101.007935,0.005258068,0.0051585548,5371,9.13229e-05,14.907701,858.33563,842.09094,(0.8217645+5.2158277e-17j),134146.19
91.816246,0.0063745202,0.006254523,5263,0.00010831606,14.610058,859.8181,843.63245,(0.8217644-1.01036955e-16j),110842.52
83.53898,0.007708401,0.0075637368,5174,0.00012861671,14.361362,860.7213,844.5681,(0.82176423+6.188494e-17j),91758.33
76.61319,0.009084327,0.008904358,5057,0.00014946827,14.037058,853.1391,836.2377,(0.821764-3.4147685e-18j),77174.56
69.35829,0.011148441,0.010937315,5017,0.00018094195,13.92695,858.0862,841.836,(0.8217637-4.4730884e-18j),63250.465
63.32148,0.013328164,0.013070602,4947,0.00021405875,13.732673,855.0518,838.52826,(0.8217634-2.3242518e-18j),52719.21
57.383507,0.016316662,0.016009672,4927,0.000259594,13.676936,859.65753,843.4835,(0.821763-1.8803707e-18j),43295.297
52.248707,0.019685026,0.019314352,4891,0.0003108443,13.577317,859.81903,843.6284,(0.8217625-7.1471714e-17j),35893.63
47.60939,0.023686547,0.02323917,4856,0.00037171642,13.480841,859.02734,842.8025,(0.8217619-4.3277603e-17j),29802.398
43.258533,0.028754715,0.028215332,4842,0.00044886683,13.439436,860.9394,844.78986,(0.8217612+1.24122934e-17j),24604.195
39.553978,0.034194507,0.033539705,4793,0.0005315086,13.304871,855.9664,839.5752,(0.8217604-5.941081e-18j),20570.535
36.065453,0.041114345,0.04031478,4773,0.00063667935,13.250234,855.64996,839.0098,(0.8217594+7.992662e-17j),17102.021
32.639355,0.05050662,0.0495596,4789,0.0007798542,13.292802,860.8975,844.7553,(0.8217581-3.7803316e-16j),14007.064
30.10473,0.058715127,0.057525665,4722,0.000903978,13.108329,851.41144,834.1634,(0.82175684+2.9193867e-17j),11916.063
27.754608,0.068536475,0.066923395,4669,0.0010514728,12.959498,844.71826,824.8369,(0.8217553+2.3283389e-17j),10128.209
24.641031,0.088423796,0.086756475,4748,0.0013567164,13.180346,859.02716,842.82935,(0.8217526-1.2031738e-18j),7983.2334
22.511715,0.10564747,0.10363474,4728,0.0016185762,13.124125,856.63586,840.3158,(0.8217501-2.8494982e-16j),6663.1094
20.53633,0.12647234,0.124010816,4704,0.0019349196,13.056554,853.4168,836.8068,(0.82174706+1.2602668e-16j),5545.029
18.986204,0.146889,0.14368679,4660,0.002242631,12.934632,847.19916,828.73004,(0.82174397+8.280976e-16j),4739.5024
16.92183,0.18742889,0.18388325,4725,0.0028630025,13.117056,858.7192,842.47455,(0.8217384+2.1666224e-16j),3764.8547
15.547027,0.21958226,0.21517156,4667,0.0033498625,12.955127,849.2038,832.146,(0.8217335+9.7025996e-17j),3177.9397
14.032712,0.27256393,0.2674126,4720,0.0041583446,13.101582,858.75964,842.5295,(0.8217262-1.536804e-15j),2588.99
12.870345,0.32020143,0.3137663,4659,0.004879621,12.932618,848.64026,831.585,(0.8217188+1.3777378e-15j),2177.8281
11.609148,0.39911452,0.39162162,4726,0.0060843034,13.119931,860.6335,844.4761,(0.82170814-7.361722e-16j),1771.8962
10.631815,0.47143424,0.4622199,4679,0.0071812733,12.98782,852.6207,835.956,(0.8216972+5.459449e-16j),1486.095
9.848009,0.5419744,0.5293689,4605,0.008237419,12.78227,840.9993,821.4389,(0.8216859-3.1955572e-15j),1275.0367
8.870118,0.6734562,0.6596455,4648,0.010248205,12.901094,847.7897,830.4039,(0.82166743-7.508399e-16j),1034.3674
8.071219,0.80997944,0.79289573,4626,0.012319262,12.840531,844.2524,826.4458,(0.8216471+9.474379e-17j),856.41376
7.450309,0.94907725,0.9274812,4614,0.014420439,12.806987,842.88837,823.70856,(0.8216266-3.1127787e-15j),729.6977
6.651048,1.2073776,1.1838808,4685,0.01837525,13.005691,854.5614,837.9308,(0.82159126-3.2357516e-15j),581.50836
6.03576,1.4697331,1.4416474,4697,0.022370145,13.039253,856.68744,840.3167,(0.8215539+1.0935371e-16j),478.8726
5.4912257,1.7753153,1.7415006,4696,0.027019719,13.035852,856.5133,840.19916,(0.8215099-3.0448243e-15j),396.3432
5.0123916,2.123474,2.0819669,4679,0.032307085,12.986966,853.6048,836.9196,(0.82145876+2.411382e-16j),330.21417
4.559838,2.5704956,2.520093,4687,0.039105248,13.009296,855.13684,838.3692,(0.8213949-3.160332e-15j),273.25665
4.1498117,3.0984764,3.0381281,4679,0.047137566,12.9880495,853.7387,837.11066,(0.82131815+3.7095283e-15j),226.3019
3.7568305,3.8116412,3.7401483,4719,0.0580102,13.099886,860.74634,844.6018,(0.8212197+2.2627395e-15j),185.44817
3.430229,4.555426,4.4689126,4701,0.06931713,13.04989,857.62067,841.3334,(0.8211108-5.424816e-15j),154.58524
3.1244617,5.4923654,5.38834,4703,0.08357405,13.053947,857.8865,841.6381,(0.82097644+1.9285894e-15j),128.23338
2.844189,6.6064053,6.4792795,4686,0.1005048,13.008394,855.0708,838.6169,(0.82081324+7.925836e-15j),106.23833
2.5813031,8.06575,7.914111,4714,0.122737825,13.085081,859.8898,843.7235,(0.82060945-5.521825e-15j),87.48518
2.3661962,9.516981,9.331562,4672,0.1447573,12.96767,852.55164,835.9414,(0.82038975+9.881678e-15j),73.49228
2.2324069,10.394262,10.089875,4518,0.15726726,12.540215,828.8202,804.54895,(0.82021993+2.0142757e-15j),65.40289
1.9455814,14.223663,13.957048,4722,0.21644494,13.1089,861.4504,845.303,(0.8197307+1.6687863e-15j),49.646656
1.7714943,17.152817,16.831186,4721,0.26101485,13.105835,861.2613,845.1119,(0.81931114+4.6944836e-15j),41.13849
1.6391602,19.686657,19.265585,4632,0.29911834,12.85896,846.3203,828.2186,(0.81889886-2.0769093e-15j),35.204086
1.4686104,24.934288,24.466105,4717,0.3794122,13.09316,860.4589,844.30237,(0.8181944+2.9054257e-16j),28.235123
1.3374511,30.058504,29.493675,4716,0.45737818,13.09035,860.2867,844.12103,(0.8174597-2.2644973e-15j),23.39603
1.2183834,36.160637,35.47834,4708,0.55019724,13.067916,858.8632,842.6577,(0.81657696+0j),19.394789
1.1075002,43.878036,43.055134,4720,0.66767305,13.103022,861.10236,844.953,(0.815486+9.040883e-16j),16.003838
1.0082504,52.941505,51.9479,4720,0.8055799,13.102838,861.0989,844.9378,(0.8141889-3.5522408e-17j),13.242865
