infid^{-1},3_Character,3_Cross_Character,Sample#,Variance,Variance(amp),3_Character(amp),3_Cross_Character(amp),unamed1,unamed2
102.05616,0.008217593,0.008110259,7939,0.00013224174,22.037735,1369.44,1351.5531,(1.3140367+4.8730795e-16j),218980.73
91.95212,0.010168534,0.010048391,7906,0.00016222031,21.945663,1375.6305,1359.3773,(1.3140365+4.139977e-16j),177766.9
83.69901,0.012272222,0.012126442,7852,0.00019445068,21.795666,1375.5737,1359.2335,(1.3140364+1.850875e-16j),147288.23
76.07128,0.014868232,0.014692876,7813,0.00023424086,21.688227,1376.6411,1360.4049,(1.3140361+1.9050539e-16j),121665.86
69.264084,0.017935164,0.01772408,7777,0.00028124198,21.588194,1376.707,1360.5042,(1.3140359+1.7965628e-17j),100865.67
63.371708,0.021354392,0.021093998,7722,0.00033356214,21.433226,1372.1387,1355.4069,(1.3140355-2.6094681e-17j),84434.1
57.84688,0.025576308,0.025260884,7681,0.00039821217,21.320356,1369.3605,1352.4725,(1.3140352-7.735146e-17j),70353.695
52.257168,0.031514872,0.031144494,7703,0.0004893443,21.380913,1376.9788,1360.7959,(1.3140346-1.4504398e-16j),57414.094
47.656452,0.037858166,0.03740891,7678,0.000586514,21.312866,1375.6978,1359.3726,(1.3140341-3.7544632e-16j),47749.637
43.936897,0.04430666,0.04368213,7617,0.00068453985,21.143528,1368.5092,1349.2192,(1.3140335-4.579403e-16j),40586.832
39.43933,0.055308696,0.054654572,7656,0.00085393386,21.252172,1376.4883,1360.2089,(1.3140326-7.772094e-16j),32702.82
36.237453,0.06522617,0.06440829,7611,0.0010055199,21.126423,1370.4309,1353.247,(1.3140316-7.633405e-16j),27608.393
32.878643,0.07927945,0.07829656,7607,0.0012208752,21.11636,1371.2241,1354.2239,(1.3140303-9.336931e-16j),22727.578
29.82383,0.096616544,0.095447466,7622,0.0014867068,21.157877,1374.986,1358.3484,(1.3140287-7.8259174e-16j),18700.432
27.227077,0.115751415,0.11432596,7605,0.0017796723,21.10873,1372.9299,1356.0226,(1.3140271-1.8223378e-15j),15585.702
24.725536,0.14044724,0.13874756,7606,0.0021582427,21.11114,1373.8035,1357.1779,(1.3140248-1.3052625e-15j),12853.31
22.463007,0.17040622,0.16838768,7613,0.0026176143,21.133015,1375.7554,1359.459,(1.3140222-2.0742962e-15j),10608.61
20.79595,0.19764426,0.19478977,7556,0.0030309102,20.972517,1367.6083,1347.8564,(1.3140197-2.4007728e-15j),9092.418
18.674093,0.24599735,0.24295351,7588,0.0037748718,21.062078,1372.554,1355.5707,(1.3140154-2.7956481e-15j),7331.612
16.89802,0.30153283,0.2979955,7616,0.0046272273,21.140362,1377.6097,1361.4487,(1.3140105-2.649516e-15j),6003.305
15.520075,0.35619742,0.35171664,7584,0.005462477,21.052187,1372.7719,1355.5032,(1.3140054-2.8924462e-15j),5064.129
14.216172,0.42289478,0.41711932,7549,0.0064804372,20.955097,1367.4696,1348.7942,(1.3139993-4.735465e-15j),4248.939
12.751348,0.52929974,0.52308476,7608,0.008117561,21.11824,1376.9996,1360.831,(1.31399-4.7775695e-15j),3418.4104
11.601843,0.6398065,0.63230807,7612,0.009811148,21.12972,1377.9155,1361.7665,(1.3139802-4.027578e-15j),2829.8457
10.578687,0.76847494,0.75940585,7600,0.01178235,21.096743,1375.9834,1359.7449,(1.3139685-4.4456126e-15j),2352.7104
9.627736,0.9280412,0.91712654,7602,0.0142278215,21.101181,1376.3713,1360.1838,(1.3139544-4.871885e-15j),1948.7163
8.842521,1.0962958,1.0826144,7572,0.01679972,21.017172,1371.5132,1354.3972,(1.313939-4.681273e-15j),1643.7941
7.9686747,1.3555782,1.3396764,7606,0.020779843,21.112246,1377.2626,1361.1063,(1.3139162-4.9870505e-15j),1334.9341
7.262298,1.6308687,1.6116648,7600,0.02499783,21.094559,1376.2177,1360.0123,(1.3138914-1.18673864e-14j),1108.7346
6.6210623,1.9605467,1.9372753,7593,0.030048238,21.0763,1375.1578,1358.8348,(1.3138617-1.1177468e-14j),921.5629
6.0123954,2.3806806,2.352747,7603,0.03648882,21.104488,1376.9436,1360.7872,(1.3138244-7.574985e-15j),759.8928
5.4798365,2.864489,2.8307092,7599,0.043901432,21.092785,1376.2661,1360.0363,(1.3137809-9.921183e-15j),631.21625
4.9795933,3.470716,3.4299402,7603,0.053192515,21.103682,1376.9773,1360.7999,(1.3137269-1.271637e-14j),521.2101
4.596777,4.0512457,3.996044,7555,0.062027793,20.970713,1369.6685,1351.0055,(1.3136729-1.7386053e-14j),444.1341
4.1476717,4.9907103,4.930151,7583,0.076469265,21.048233,1373.6974,1357.0284,(1.3135897-1.9165513e-14j),361.5667
3.761819,6.0807185,6.0091267,7601,0.09318756,21.099575,1376.7993,1360.5895,(1.3134931-1.4131327e-14j),297.40176
3.440898,7.2505245,7.1622534,7582,0.111089624,21.044424,1373.5135,1356.7919,(1.3133869-1.0283425e-14j),248.80334
3.1232927,8.811221,8.706156,7592,0.13501869,21.073626,1375.2494,1358.8508,(1.3132479-1.7267112e-14j),204.97084
2.8681006,10.40225,10.266191,7553,0.15930028,20.96647,1369.1029,1351.1952,(1.3131012-1.69623e-14j),172.82516
2.6026368,12.6602745,12.502411,7572,0.19394073,21.019197,1372.114,1355.0049,(1.3129004-7.031222e-15j),142.29147
2.3672478,15.302625,15.112038,7572,0.23441881,21.018412,1372.0608,1354.9724,(1.3126631-1.1135825e-14j),117.69573
2.1610992,18.32787,18.09573,7557,0.2807278,20.977554,1369.561,1352.2142,(1.3123884-6.3144045e-15j),98.069016
1.9514499,22.573814,22.307491,7593,0.34592202,21.077206,1375.4341,1359.2069,(1.3120149-1.511718e-14j),79.94174
1.7901641,26.763393,26.427242,7573,0.40995842,21.020618,1372.2931,1355.0569,(1.3116342-1.4663663e-14j),67.25404
1.6322546,32.150578,31.740175,7562,0.49242255,20.99103,1370.5175,1353.0228,(1.3111466-2.6921451e-14j),55.891666
1.4685887,39.895294,39.42559,7600,0.61136293,21.09694,1376.7086,1360.5,(1.3104664-1.1428181e-14j),45.221634
1.3357563,48.243496,47.677643,7604,0.73930925,21.10574,1377.2513,1361.0974,(1.3097209-1.4671612e-14j),37.3898
1.2207348,57.64334,56.947758,7586,0.8831945,21.058092,1374.3958,1357.8109,(1.308869-9.328153e-15j),31.20749
1.108214,70.04686,69.22297,7599,1.0734112,21.09276,1376.4358,1360.2461,(1.3077662-4.001196e-15j),25.697886
1.0283173,80.82814,79.70394,7541,1.2372322,20.932716,1367.5303,1348.51,(1.3067538-2.9247362e-15j),22.10895
