infid^{-1},1_Character,1_Cross_Character,Sample#,Variance,Variance(amp),1_Character(amp),1_Cross_Character(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty
1007.7011,9.499783e-05,9.400575e-05,9099,1.5544680494649746e-06,25.25603928375699,1543.4662,1527.3475,1.4623354567757243,23759125.673293933,8560070395
875.22644,0.00012593734,0.00012462192,9100,2.060847306524563e-06,25.258448814805213,1543.5311,1527.4088,1.461892303492309,17917451.62468594,6455399467
760.18195,0.00016695927,0.00016521549,9101,2.7322942173167117e-06,25.262863455684126,1543.7098,1527.5867,1.4613820184691364,13511976.182943571,4868170188
660.20844,0.00022134368,0.00021903205,9102,3.622577946526317e-06,25.263867262134188,1543.6514,1527.53,1.4607948196576397,10187586.565647898,3670440544
573.4232,0.00029343594,0.00029037133,9103,4.802854192728991e-06,25.267943172630343,1543.7743,1527.6512,1.4601187073405664,7681723.209134639,2767614108
498.01758,0.00038901612,0.00038495354,9104,6.36791763687978e-06,25.27008948158682,1543.7499,1527.6282,1.4593405016754857,5791165.521341923,2086473434
432.53625,0.00051571964,0.00051033363,9105,8.442925625659469e-06,25.27306817127561,1543.7561,1527.6335,1.4584447729422458,4365711.105945093,1572902761
375.66537,0.00068370864,0.00067656836,9107,1.1194553184081577e-05,25.27720813657427,1543.8085,1527.6858,1.457413747876398,3290828.141185777,1185637928
326.278,0.00090638263,0.0008969159,9108,1.484267077402352e-05,25.281782280769438,1543.8575,1527.7327,1.4562272342939218,2480417.4699595487,893658649
283.3702,0.0012016343,0.0011890839,9110,1.968107730571012e-05,25.28582946236873,1543.8342,1527.7097,1.4548615263534732,1869175.140939169,673436851
246.1157,0.0015929937,0.0015763564,9112,2.60961885148998e-05,25.291568103999776,1543.8772,1527.7528,1.4532902069919016,1408481.0976907806,507455430
213.75517,0.0021118387,0.0020897826,9114,3.460379913237304e-05,25.29746688011092,1543.8816,1527.7573,1.4514818731163175,1061120.9038573364,382306561
185.65028,0.0027997012,0.002770462,9116,4.588696323681804e-05,25.304661233266373,1543.9132,1527.7892,1.4494012802876852,799281.6652402583,287969659
161.24031,0.0037115717,0.003672811,9119,6.085100431468186e-05,25.31249790485878,1543.9211,1527.7976,1.4470078376172872,601919.1181888928,216862779
140.04004,0.004920503,0.0048691174,9123,8.069951747177227e-05,25.321843854855413,1543.9524,1527.8286,1.4442543759050217,453177.2300392103,163273221
