infid^{-1},5_Character,5_Cross_Character,Sample#,Variance,Variance(amp),5_Character(amp),5_Cross_Character(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty
1007.21716,2.9373994e-05,2.8381844e-05,4311,7.372622171171873e-07,11.96707967639504,476.79227,460.68793,0.4468661565519708,7253434.091675206,2613307715
874.6333,3.894146e-05,3.762618e-05,4310,9.775621806431909e-07,11.96510178493181,476.63315,460.5345,0.4467307991691795,5467866.482934398,1969993452
759.3562,5.1626317e-05,4.9882357e-05,4309,1.296403053165074e-06,11.96054925591455,476.30182,460.21213,0.446575070531536,4120079.102340584,1484405092
659.9227,6.844111e-05,6.6129345e-05,4312,1.7178899626609969e-06,11.970202597302118,476.89548,460.78717,0.4463956981954428,3110471.020906734,1120657858
573.0706,9.073511e-05,8.767063e-05,4312,2.277837110229775e-06,11.969030393516356,476.77304,460.67056,0.4461893043334261,2344528.202146106,844699705
497.75162,0.00012028574,0.00011622276,4312,3.019746519830845e-06,11.97059728077642,476.8255,460.71945,0.4459517807115666,1767800.4224812598,636913002
432.40247,0.00015946772,0.00015408173,4314,4.002947772924767e-06,11.975019993176112,477.05573,460.94327,0.4456783576111231,1333269.2669681248,480357692
375.54767,0.00021140996,0.00020426893,4314,5.307219973120721e-06,11.97614882496604,477.0628,460.94852,0.4453638387514456,1004997.652473254,362086163
326.17654,0.00028026535,0.00027079988,4315,7.036350828488275e-06,11.977684404836856,477.08392,460.97125,0.445001756457004,757507.7946454824,272919135
283.29364,0.00037155667,0.00035900617,4316,9.329163667419534e-06,11.979435220147066,477.1102,460.9943,0.4445853462351506,570885.188095729,205681701
246.05075,0.0004925652,0.00047592906,4316,1.23689697029392e-05,11.981270226462742,477.126,461.0113,0.4441062348654345,430185.9360133527,154989789
213.73338,0.00065300433,0.00063094916,4318,1.6398094166770164e-05,11.985553574575585,477.2883,461.1679,0.4435550736133092,324199.4492774794,116804386
185.62564,0.0008656979,0.00083645544,4318,2.174329518683975e-05,11.987296629659207,477.2679,461.14624,0.4429211703867292,244186.88185749837,87977012
161.21397,0.0011476628,0.001108898,4319,2.883163809278445e-05,11.989323440606382,477.24307,461.12317,0.4421922206764957,183880.8304803639,66249611
140.01782,0.0015214637,0.0014700696,4320,3.823074190907342e-05,11.9922142219807,477.25256,461.13126,0.4413542497856662,138443.94450412507,49879356
121.609276,0.0020170205,0.0019488926,4321,5.069530880009765e-05,11.99557827779178,477.26956,461.14908,0.4403910147740982,104205.79370351275,37543844
105.62869,0.0026740055,0.0025836828,4323,6.72229205022088e-05,12.000549878162076,477.36002,461.23575,0.4392840300090782,78420.4237694608,28253747
91.73893,0.0035449683,0.0034252151,4325,8.91494846265301e-05,12.004558672645883,477.3531,461.22754,0.4380124283315232,58981.22594069482,21250085
