infid^{-1},Sample#,Variance,Variance(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty,vu,N_mterm,vstar,remain,variance_new,Sample_new,variance_new_thr,Sample_new_thr
12652.501,728,7.890134840705213e-10,0.126309835346182,0.0301166905972197,4821253.764741409,27792451414,1.8816934006302888e-10,1.9237319103911976,0.0301166899963756,1.9237319103911976,7.89013428514916e-10,728,0.03011669059721969,27792452494
9950.899,728,1.2765523667676752e-09,0.1264047186817487,0.0301153912054108,2982037.911182354,17190164178,3.051695983471132e-10,1.9237339254092825,0.030115390234028,1.9237339254092825,1.2765523140448653e-09,728,0.030115391205410718,17190163592
7803.3564,728,2.0757304020758e-09,0.1263961420404297,0.0301137262636997,1833696.1381819271,10570468454,4.961101138774357e-10,1.9237363062149684,0.0301137246840794,1.9237363062149684,2.0757302451711474e-09,728,0.03011372626369953,10570468781
6134.2656,728,3.359731262122797e-09,0.1264240418917983,0.030111621409152,1133076.6032921695,6531698595,8.035530261706881e-10,1.92373948492968,0.0301116188529738,1.92373948492968,3.359731132053924e-09,728,0.030111621409151905,6531698919
4812.741,728,5.458488864029174e-09,0.126432130116893,0.0301089220604965,697397.2552583262,4020194803,1.3057731088205742e-09,1.9237437355956373,0.0301089179077807,1.9237437355956373,5.458489208231434e-09,728,0.0301089220604968,4020194385
3777.8015,728,8.859876743075731e-09,0.1264462353123975,0.0301054897514187,429659.0067438517,2476799117,2.1201829942256318e-09,1.9237488394217463,0.030105483011725,1.9237488394217463,8.859875847140778e-09,728,0.03010548975141785,2476799379
2967.843,728,1.4356695801335417e-08,0.126455095213544,0.0301011337120381,265133.5503840194,1528380723,3.436309473106098e-09,1.923755345409032,0.0301011227916518,1.923755345409032,1.435669565644898e-08,728,0.030101133712037983,1528380763
2330.169,729,2.3291000904472567e-08,0.1264628460099206,0.0300955776684824,163409.56835126993,941985780,5.575766924388876e-09,1.9237635308518053,0.0300955599532484,1.9237635308518053,2.329099911244151e-08,729,0.03009557766848059,941985870
1829.5764,729,3.7783403083814493e-08,0.1264742670812549,0.0300885009922728,100716.7380378574,580588615,9.047623835895877e-09,1.9237741948272469,0.0300884722564935,1.9237741948272469,3.778340409542338e-08,729,0.03008850099227376,580588614
1435.7909,729,6.135170753576462e-08,0.126476252992168,0.030079477530343,62008.69972171819,357453446,1.4691695405709011e-08,1.9237878853757016,0.0300794308703309,1.9237878853757016,6.135170118102348e-08,729,0.030079477530336674,357453493
1127.5011,729,9.948968139589749e-08,0.1264771205208912,0.0300680233292391,38224.2354893496,220346254,2.3824321347150268e-08,1.9238047330001835,0.030067947663879,1.9238047330001835,9.948967008123699e-08,729,0.030068023329227735,220346263
885.061,729,1.6146523232791149e-07,0.1264810301955556,0.0300534207970419,23541.833548356484,135708530,3.8667738377717033e-08,1.9238265352218875,0.0300532979995479,1.9238265352218875,1.6146522905038674e-07,729,0.03005342079703857,135708541
694.6512,729,2.6212282428113626e-07,0.1264848268365032,0.0300348269777694,14493.014485732028,83545986,6.277638288098264e-08,1.9238537886589555,0.030034627631328,1.9238537886589555,2.62122819713197e-07,729,0.030034826977764835,83545984
545.19275,729,4.25553020588203e-07,0.1264893009660725,0.0300111680147879,8920.37297284105,51422108,1.0192228332460609e-07,1.9238884199515816,0.0300108443840506,1.9238884199515816,4.255529878276875e-07,729,0.0300111680147551,51422111
428.0448,729,6.903772275332164e-07,0.1264925363261381,0.0299811321677819,5493.21341809386,31666009,1.6535074584185536e-07,1.923931770216183,0.0299806071413002,1.923931770216183,6.903770991196704e-07,729,0.02998113216765348,31666009
336.09552,729,1.119834589298084e-06,0.1264967352453665,0.0299429812264375,3382.365042887087,19497877,2.682130103711929e-07,1.923986817843872,0.0299421296048586,1.923986817843872,1.1198345628489117e-06,729,0.029942981226411078,19497878
263.88397,729,1.8166394716031377e-06,0.1265012462877371,0.0298945299927378,2081.6983008357915,12000094,4.3510567212459437e-07,1.9240553493132784,0.0298931484589384,1.9240553493132784,1.81663956814151e-06,729,0.029894529992834415,12000093
207.09544,729,2.9496549815165605e-06,0.1265063464242334,0.0298329367805984,1279.4906044496845,7375712,7.064666598271051e-07,1.9241406923635336,0.0298306935922767,1.9241406923635336,2.9496535854325797e-06,729,0.029832936779202304,7375711
162.63454,729,4.783063559137164e-06,0.1265119876890119,0.0297550881763655,787.0218119645665,4536841,1.145546343743432e-06,1.9242459229217823,0.0297514506591501,1.9242459229217823,4.783062266090847e-06,729,0.02975508817507245,4536842
127.57951,729,7.773062098697798e-06,0.1265184927416339,0.0296560996567445,482.69845030513454,2782548,1.861558856635313e-06,1.9243755572383432,0.0296501881535024,1.9243755572383432,7.773055940594577e-06,729,0.029656099650586357,2782548
100.16906,729,1.2610019523819352e-05,0.1265269262627718,0.0295314645446834,296.3140088577036,1708122,3.0198136088720248e-06,1.9245318852361215,0.0295218743387685,1.9245318852361215,1.261001021952557e-05,729,0.029531464535379155,1708122
78.662865,729,2.044919946084415e-05,0.1265365089887713,0.0293745512268637,181.7652164074363,1047798,4.896806740546896e-06,1.9247165760407343,0.0293589988341434,1.9247165760407343,2.0449192270583454e-05,729,0.029374551219673438,1047798
61.770416,729,3.316590592555842e-05,0.1265473140335274,0.0291774234536049,111.32892244101674,641763,7.941329056365835e-06,1.924930051718357,0.0291521988767357,1.924930051718357,3.3165802949310027e-05,729,0.02917742335062864,641763
48.46637,729,5.387813193180789e-05,0.1265591494771446,0.028929894399843,67.95600920874185,391737,1.2899518187492705e-05,1.925166512718845,0.0288889157860987,1.925166512718845,5.387794544843023e-05,729,0.02892989421335964,391737
38.052376,729,8.74122014233425e-05,0.1265714012486871,0.0286225779203041,41.44501266107224,238912,2.0926354431876537e-05,1.9254079029065456,0.0285560920733126,1.9254079029065456,8.741143395213019e-05,729,0.028622577152832854,238912
29.890247,729,0.000141681761525,0.1265822891267239,0.0282436747568391,25.233657215924445,145461,3.3915794342368774e-05,1.9256201851892252,0.0281359087896564,1.9256201851892252,0.0001416789699643524,729,0.028243671965278383,145461
23.442802,729,0.00023034222095,0.1265880075916361,0.0277769326341687,15.265228166440975,87997,5.513660290307386e-05,1.9257373728679117,0.0276017270161217,1.9257373728679117,0.00023033105094418663,729,0.027776921464162812,87997
18.406,729,0.0003736426124163,0.1265829487060193,0.0272156192283901,9.220129659490308,53150,8.944194335775111e-05,1.925634609081965,0.0269314185593315,1.925634609081965,0.0003736265078621733,729,0.027215603123835922,53150
14.447698,729,0.0006062976976769,0.1265561413732338,0.0265497739747269,5.54189297014865,31946,0.0001451658185949,1.9250963459262056,0.0260886420956449,1.9250963459262056,0.0006062667397748294,729,0.02654974301682483,31946
11.338745,729,0.0009838340686147,0.1264887380426655,0.0257817625142582,3.3146876175329,19107,0.0002356848109514,1.9237482346972012,0.0250336132565948,1.9237482346972012,0.0009836429115335156,729,0.025781571357176916,19107
8.90586,728,0.00159302501012,0.1263497451612484,0.024936677130127,1.9778363682578928,11401,0.0003820416333647,1.9209673947781225,0.0237256937533717,1.9209673947781225,0.0015924810755689358,728,0.024936133195575937,11401
