1/1-phi0,m,r,infid^{-1},Character,Cross_Character,Sample#,Variance,Variance(amp),Character(amp),Cross_Character(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty
7120722.305,0.019356565,7128732.211,1335.0216,3.58E-06,1.28E-06,342,3.34E-08,0.9510756,6.379437,2.280397,0.095656021,170486.0607,30711834.5
6439734.667,0.019849073,6447352.159,1269.7507,3.72E-06,1.28E-06,316,3.40E-08,0.87724274,5.9988203,2.065772,0.088460171,142621.3954,25692216
5823867.23,0.020354111,5831111.539,1207.3414,4.00E-06,1.35E-06,304,3.62E-08,0.8439527,5.8300605,1.9661467,0.095721642,139530.8766,25135481
5266893.086,0.020872,5273782.501,1148.1807,4.46E-06,1.51E-06,307,4.05E-08,0.8532882,5.8857107,1.9857607,0.09377492,123625.2457,22270196.5
4763180.741,0.021403066,4769732.657,1091.9823,5.17E-06,1.82E-06,328,4.78E-08,0.9110632,6.164446,2.1728072,0.092062599,109777.776,19775674.5
4307637.183,0.021947644,4313868.14,1038.5154,5.16E-06,1.61E-06,281,4.53E-08,0.7824802,5.569232,1.7313832,0.096006139,103543.9812,18652701.5
3895656.393,0.022506079,3901582.121,987.6503,5.56E-06,1.72E-06,273,4.86E-08,0.7577848,5.420637,1.6808834,0.089966055,87757.67052,15808911.5
3523072.778,0.023078722,3528708.236,939.2686,6.39E-06,2.01E-06,286,5.64E-08,0.79553765,5.6361904,1.7696949,0.092734262,81812.5343,14737938
3186119.06,0.023665935,3191478.473,893.21277,7.35E-06,2.47E-06,305,6.65E-08,0.84845173,5.8610826,1.9713964,0.094510223,75403.0066,13583308
2881388.188,0.02426809,2886485.086,849.4793,8.24E-06,2.79E-06,311,7.49E-08,0.86463976,5.9485354,2.0144522,0.096271647,69471.07195,12514712.5
2605798.895,0.024885566,2610646.143,807.8398,8.86E-06,2.87E-06,297,7.91E-08,0.8261519,5.779259,1.873439,0.101346192,66139.03818,11914470.5
2356564.545,0.025518752,2361174.38,768.2579,9.85E-06,3.20E-06,299,8.81E-08,0.83189493,5.811038,1.8879601,0.103736879,61227.60219,11029711
2131164.965,0.02616805,2135549.021,730.65137,1.10E-05,3.48E-06,300,9.75E-08,0.83282924,5.849608,1.8569227,0.095463635,50963.3934,9180687.5
1927320.96,0.026833868,1931490.303,694.8814,1.20E-05,3.96E-06,299,1.08E-07,0.8317957,5.787692,1.9105058,0.094202057,45486.4175,8194050
1742971.276,0.027516627,1746936.429,660.8585,1.38E-05,4.56E-06,313,1.25E-07,0.8713393,6.023619,1.9933805,0.094488339,41266.27199,7433821
1576251.758,0.028216759,1580022.727,628.5014,1.42E-05,4.46E-06,284,1.25E-07,0.78916866,5.5924516,1.7620866,0.090912739,35911.80243,6469252
1425476.503,0.028934704,1429062.806,597.7134,1.59E-05,5.17E-06,291,1.42E-07,0.8091788,5.668351,1.8475091,0.091504711,32691.08839,5889063.5
1289120.818,0.029670917,1292531.506,568.4687,1.85E-05,6.27E-06,313,1.68E-07,0.8700258,5.980103,2.0263069,0.091055913,29425.323,5300759.5
1165805.805,0.030425862,1169049.484,540.6076,2.04E-05,6.89E-06,312,1.86E-07,0.86759466,5.9739447,2.0128648,0.092651061,27077.88029,4877884.5
1054284.419,0.031200016,1057369.273,514.1496,2.20E-05,7.42E-06,302,1.99E-07,0.8404735,5.805562,1.9625967,0.094306412,24929.88378,4490938.5
953428.8576,0.031993867,956362.6725,488.9606,2.54E-05,8.47E-06,316,2.30E-07,0.8798324,6.0611734,2.0242972,0.095589129,22853.68585,4116926.5
862219.1653,0.032807917,865009.3428,465.0262,2.80E-05,9.44E-06,317,2.55E-07,0.8806153,6.051438,2.0403447,0.092355905,19971.90693,3597795
779732.9164,0.033642679,782386.4959,442.27383,2.84E-05,9.14E-06,284,2.52E-07,0.78833824,5.5608187,1.7870243,0.096226059,18822.40851,3390721
705135.8904,0.034498682,707659.5667,420.6081,3.37E-05,1.14E-05,312,3.06E-07,0.8674923,5.9640236,2.0219612,0.090477009,16006.39411,2883436
637673.6384,0.035376464,640073.778,400.00992,3.73E-05,1.27E-05,313,3.40E-07,0.8696388,5.975586,2.027704,0.097145599,15544.06638,2800151
576663.8546,0.03627658,578946.5119,380.453,3.89E-05,1.27E-05,289,3.47E-07,0.802546,5.6253877,1.8369995,0.094631032,13697.31934,2467473
521489.4782,0.037199599,523660.4111,361.82745,4.33E-05,1.37E-05,289,3.83E-07,0.8029211,5.6654,1.8000108,0.091603899,11992.70145,2160398.5
471592.4547,0.038146104,473657.1388,344.11273,5.13E-05,1.80E-05,321,4.72E-07,0.89366394,6.0700006,2.1269805,0.097781596,11578.66735,2085813
426468.0936,0.039116691,428431.7361,327.27728,5.50E-05,1.81E-05,305,4.95E-07,0.848711,5.891774,1.9427954,0.086675048,9283.801015,1672409.5
385659.9655,0.040111973,387527.5184,311.25406,5.85E-05,1.90E-05,291,5.21E-07,0.80788124,5.664538,1.8408613,0.100338759,9720.727009,1751118.5
348755.2876,0.04113258,350531.4602,296.025,6.60E-05,2.19E-05,299,5.93E-07,0.8318474,5.781171,1.9174446,0.09934405,8705.597951,1568250.5
315380.7498,0.042179155,317070.0207,281.54416,7.23E-05,2.37E-05,295,6.47E-07,0.8205363,5.7281966,1.8792276,0.093090211,7378.991991,1329272
285198.7406,0.043252358,286805.3689,267.77567,8.32E-05,2.77E-05,311,7.53E-07,0.8634127,5.9687,1.9843942,0.094330762,6763.874335,1218463
257903.9334,0.044352869,259431.9693,254.671,8.95E-05,2.92E-05,299,8.02E-07,0.8319244,5.806934,1.8923023,0.095716632,6207.924298,1118312.5
233220.1991,0.04548138,234673.4945,242.2213,0.000101095,3.42E-05,310,9.18E-07,0.86141354,5.931353,2.0056243,0.095109788,5580.201652,1005233
210897.8146,0.046638606,212280.0325,230.37082,0.00011041,3.66E-05,304,9.95E-07,0.8446515,5.859522,1.9423201,0.100165471,5315.853102,957612.5
190710.9373,0.047825275,192025.5612,219.10094,0.000125766,4.33E-05,318,1.15E-06,0.8833621,6.0374446,2.0764828,0.086940814,4173.612816,751846
172455.322,0.049042139,173705.6648,208.38933,0.000144562,5.14E-05,335,1.34E-06,0.93246603,6.277771,2.232033,0.09317153,4046.076948,728871.5
155946.2555,0.050289964,157135.4676,198.1998,0.000149041,5.00E-05,304,1.35E-06,0.8465361,5.8547993,1.962236,0.10153074,3988.448097,718490
141016.6888,0.051569538,142147.7661,188.5144,0.000164005,5.25E-05,299,1.46E-06,0.83144575,5.8283663,1.8670107,0.093587139,3325.869735,599131
