1/1-phi0,m,r,infid^{-1},Character,Cross_Character,Sample#,Variance,Variance(amp),Character(amp),Cross_Character(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty
8.824169528,0.533582968,24.11175436,2.4551864,0.9910458,0.33014935,311,0.008966329,0.8647758,5.9739637,1.9901203,0.025669788,0.154735931,27.5
7.816725895,0.54715942,22.72917491,2.3837564,1.0289904,0.33530053,302,0.009222802,0.8385068,5.8470263,1.9052763,0.022092593,0.125536622,22.5
6.913634103,0.56108131,21.49203774,2.317975,1.0934654,0.34860447,301,0.00974785,0.8380044,5.875199,1.8730547,0.021895909,0.117646904,21
6.104523123,0.575357427,20.39124914,2.2578335,1.128336,0.37538713,298,0.010148526,0.8277645,5.7520447,1.9136531,0.018242229,0.09299546,16.5
5.380032849,0.589996785,19.41933718,2.2033687,1.1862764,0.39784846,299,0.010696312,0.8308611,5.759175,1.931488,0.017780893,0.086323275,15.5
4.731716483,0.605008626,18.57050733,2.1546755,1.3611639,0.48371792,338,0.012645381,0.9393243,6.3193746,2.2457213,0.016588935,0.077016216,13.5
4.151952318,0.620402428,17.84076295,2.1119163,1.3189901,0.43441027,305,0.011868409,0.84696597,5.882948,1.9375529,0.015649955,0.069801788,12.5
3.633863984,0.636187908,17.22811422,2.0753381,1.3505566,0.44174725,300,0.012108672,0.8344383,5.8168855,1.9026179,0.014202407,0.06117017,11
3.171248373,0.652375033,16.73291107,2.045294,1.4471772,0.48018056,315,0.013102809,0.8769926,6.053872,2.0087047,0.013853351,0.057951725,10
2.75851049,0.668974022,16.35835686,2.0222733,1.4320766,0.48895013,306,0.013011626,0.85139525,5.8566046,1.9996052,0.012854473,0.052569515,9
2.39060457,0.685995355,16.11129342,2.006944,1.4647561,0.4747752,304,0.013126237,0.84592277,5.89978,1.9123108,0.012928407,0.052073344,9
2.062980868,0.703449778,16.00340652,2.0002127,1.4817145,0.49934328,309,0.013435291,0.8600415,5.928118,1.9977978,0.0128088,0.051246099,9
1.771537563,0.72134831,16.05310505,2.0033162,1.4902219,0.5069804,313,0.013566403,0.8711314,5.980671,2.0346522,0.012671179,0.050852936,9
1.512577298,0.739702251,16.28851766,2.0179517,1.4359748,0.47723898,303,0.012942992,0.8432885,5.8474746,1.9433786,0.013159173,0.053585847,9.5
1.282767906,0.758523188,16.75241749,2.046486,1.4267797,0.48089984,312,0.012952398,0.86793584,5.975502,2.0140586,0.013739092,0.057540748,10
1.07910692,0.777823004,17.51062486,2.092285,1.3370588,0.45643616,306,0.012146722,0.8507867,5.8531833,1.9981204,0.015608104,0.068326906,12
0.898889504,0.797613884,18.66701689,2.160267,1.2607379,0.41093218,304,0.01131114,0.84458095,5.883554,1.9177195,0.016204082,0.075620467,13.5
0.739679479,0.817908321,20.3918834,2.2578685,1.1422122,0.37241077,300,0.010233072,0.8346863,5.822963,1.898539,0.018774905,0.095713907,17
0.599283141,0.838719129,22.97932666,2.396838,1.015379,0.34002098,303,0.009168612,0.8427542,5.8331814,1.9533634,0.022052054,0.126685346,22.5
0.475725611,0.860059446,26.97399631,2.596825,0.8726384,0.2989183,308,0.007941681,0.8568756,5.884637,2.0157554,0.025997882,0.175316715,31.5
0.367229467,0.881942744,33.48422518,2.893278,0.729513,0.25542796,324,0.006716742,0.89961964,6.1067944,2.138202,0.031826585,0.266422159,47.5
0.27219544,0.90438284,45.08276538,3.357185,0.52834177,0.18218103,313,0.004825754,0.8702333,5.954777,2.053306,0.03779441,0.425969104,76.5
0.189184978,0.9273939,69.03286252,4.1543,0.3307318,0.10760652,293,0.002952457,0.8152659,5.7078385,1.8570958,0.048329225,0.834075914,150
0.116904496,0.950990452,133.7284139,5.7820487,0.17518617,0.05880069,305,0.001583873,0.84723496,5.85684,1.96583,0.058019463,1.939711871,349
0.054191152,0.975187393,460.3480364,10.727861,0.051487032,0.01713159,308,0.00046512,0.8564687,5.9254885,1.9716233,0.073680462,8.47966355,1527.5
0,1,inf,16777216,0,0,-44,-2.73E-17,-0.123065375,0,0,0.100626015,2.8321E+13,5.10183E+15
