N_M,Variance,Variance(amp),Sample#,Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty
1,1.1645230807286377,72184.72948426787,52014234,1.9540824890136719,121126.76699472475,87280455
2,0.5822814996075371,36093.60194609859,26008008,1.371840907892571,85035.63945655547,61274229
3,0.3882009725671701,24063.226100042168,17339266,1.1777603808522041,73005.26361049904,52605487
4,0.2911607090469867,18048.038177013957,13004895,1.080720117332021,66990.07568747085,48271116
5,0.23293655093487664,14438.925423197028,10404273,1.0224959592199108,63380.96293365391,45670494
6,0.19412044552680324,12032.850253985744,8670524,0.9836798538118374,60974.887764442625,43936745
8,0.14560031376671154,9025.256292471639,6503339,0.9351597220517457,57967.29380292852,41769560
10,0.1164882347106565,7220.699915563174,5203028,0.9060476429956906,56162.73742602005,40469248
13,0.08961554635122108,5554.955567647669,4002740,0.8791749546362552,54496.99307810455,39268961
16,0.07282011612657395,4513.865350200478,3252561,0.862379524411608,53455.902860657356,38518782
20,0.05826407659854643,3611.5871617462467,2602405,0.8478234848835806,52553.62467220313,37868626
26,0.044827732418828724,2778.714987788494,2002261,0.8343871407038629,51720.752498245376,37268482
33,0.03532728703923035,2189.8154708486695,1577917,0.8248866953242645,51131.85298130555,36844138
41,0.02844194683380713,1763.017214669284,1270379,0.8180013551188412,50705.05472512616,36536600
53,0.02201129890610054,1364.4037489923107,983149,0.8115707071911347,50306.44125944919,36249370
67,0.017420264191543848,1079.8214986209396,778088,0.806979672476578,50021.859009077816,36044309
84,0.013902813275033997,861.786968361921,620978,0.8034622215600681,49803.824478818795,35887199
106,0.011025608696268452,683.439078460815,492466,0.8005850169813026,49625.47658891769,35758687
135,0.008665719688230447,537.1577788651604,387060,0.7982251279732646,49479.195289322044,35653281
170,0.006889819440802253,427.07590837836955,307738,0.7964492277258364,49369.11341883525,35573959
215,0.005456119241051253,338.20582688903346,243701,0.7950155275260854,49280.24333734591,35509922
272,0.004321106582915045,267.8503457099758,193005,0.7938805148679492,49209.88785616685,35459226
343,0.0034349131285419067,212.91830028016057,153422,0.7929943214135761,49154.95581073704,35419643
434,0.002723059413261712,168.7929680130487,121627,0.7922824676982958,49110.83047846993,35387848
548,0.0021648877606009645,134.19385149928019,96696,0.7917242960456351,49076.23136195616,35362917
692,0.0017226976226245156,106.78402509165825,76945,0.7912821059076587,49048.82153554854,35343166
875,0.0013707563861417365,84.9684137308491,61225,0.7909301646711758,49027.005924187724,35327446
1105,0.0010937494024926542,67.79771569071167,48853,0.7906531576875268,49009.83522614759,35315073
1396,0.0008740754794465362,54.1808943736879,39041,0.7904334837644806,48996.218404830564,35305262
1763,0.0007004307735845207,43.417263900016174,31285,0.7902598390586186,48985.4547743569,35297506
2227,0.0005628116890597137,34.88673620787277,25138,0.7901222199740938,48976.92424666475,35291359
2813,0.0004538833503688913,28.134647913798002,20273,0.790013291635403,48970.172158370675,35286493
3554,0.0003675727245461555,22.78455285794581,16417,0.7899269810095803,48964.82206331482,35282638
4489,0.00029932663128871384,18.554215253074844,13369,0.7898587349163229,48960.59172570996,35279590
5670,0.00024529470552669865,15.204964380172678,10956,0.7898047029905608,48957.242474837054,35277177
7162,0.00020251038286783516,12.552913245758656,9045,0.7897619186679019,48954.59042370263,35275266
9047,0.0001686333269627479,10.452992551441408,7532,0.7897280416119968,48952.49050300832,35273752
11428,0.00014181585800113417,8.790671061655557,6334,0.7897012241430352,48950.82818151853,35272555
14435,0.00012058929781441674,7.474910532460194,5386,0.7896799975828486,48949.51242098934,35271607
18233,0.0001037852753488956,6.433287711929889,4635,0.7896631935603831,48948.47079816881,35270856
23031,9.048004096036146e-05,5.608542577243357,4041,0.7896498883259945,48947.64605303412,35270262
29091,7.99474700478652e-05,4.955665193639505,3570,0.789639355755082,48946.993175650525,35269791
36746,7.160855235489053e-05,4.438764732137,3198,0.789631016837389,48946.476275189016,35269419
46415,6.500699580277937e-05,4.0295572361455285,2903,0.7896244152808369,48946.067067693024,35269124
58629,5.97803834880306e-05,3.705577744194867,2670,0.7896191886685222,48945.74308820108,35268890
74056,5.564284587033492e-05,3.449106199227746,2485,0.7896150511309045,48945.486616656104,35268706
93543,5.2367126764791964e-05,3.2460557819254836,2339,0.7896117754117989,48945.28356623881,35268559
118158,4.97737917245554e-05,3.0853039759377316,2223,0.7896091820767587,48945.12281443282,35268444
149249,4.7720770955805324e-05,2.9580443696059433,2131,0.78960712905599,48944.995554826484,35268352
188522,4.6095395031870474e-05,2.857292977623169,2058,0.789605503680066,48944.8948034345,35268279
238128,4.480864283226048e-05,2.777531690810359,2001,0.7896042169278664,48944.81504214769,35268222
300788,4.378992799068795e-05,2.7143851061892015,1955,0.7896031982130248,48944.75189556307,35268176
379935,4.2983440079071144e-05,2.6643937297229097,1919,0.7896023917251132,48944.7019041866,35268140
479909,4.2344953041995216e-05,2.624816142285398,1891,0.7896017532380761,48944.662326599166,35268112
606189,4.183947669227723e-05,2.5934834240517177,1868,0.7896012477617264,48944.63099388093,35268089
765698,4.143929903120122e-05,2.5686778047484538,1850,0.7896008475840653,48944.60618826163,35268071
967179,4.112248607060082e-05,2.5490396728500797,1836,0.7896005307711047,48944.58655012973,35268057
1221677,4.0871670594076195e-05,2.5334924951058055,1825,0.7896002799556282,48944.57100295198,35268046
1543141,4.0673105205641164e-05,2.521184118323653,1816,0.7896000813902397,48944.5586945752,35268037
1949194,4.051590422147972e-05,2.511439776881099,1809,0.7895999241892556,48944.54895023376,35268030
2462092,4.0391451363036316e-05,2.50372537768288,1804,0.7895997997363972,48944.541235834564,35268024
3109951,4.029292422083072e-05,2.4976180233292684,1799,0.7895997012092549,48944.53512848021,35268020
3928284,4.021492202051206e-05,2.4927829386303397,1796,0.7895996232070547,48944.53029339551,35268017
4961947,4.0153169145034364e-05,2.4889550929783293,1793,0.7895995614541792,48944.52646554986,35268014
6267602,4.010428048682187e-05,2.4859246553456895,1791,0.789599512565521,48944.52343511223,35268012
7916819,4.006557621601372e-05,2.4835255124137827,1789,0.7895994738612502,48944.521035969294,35268010
10000000,4.003493475258753e-05,2.481626154826952,1788,0.7895994432197867,48944.51913661171,35268009
