N_M,Variance,Variance(amp),Sample#,Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty
1,0.047110483162018824,2375.6817564725256,1711847,1.9540770053863525,98539.95927983787,71005052
2,0.023671063046451835,1193.681509110567,860132,1.9306375852707856,97357.95903247592,70153337
3,0.015857923007929504,799.6814266565808,576227,1.9228244452322631,96963.95895002193,69869432
4,0.01195135298866834,602.6813854295877,434274,1.918917875213002,96766.95890879494,69727480
5,0.009607410977111642,484.48136069339193,349103,1.9165739332014453,96648.75888405874,69642308
6,0.008044782969407175,405.68134420259463,292322,1.915011305193741,96569.95886756796,69585527
8,0.006091497959776593,307.1813235890981,221346,1.9130580201841103,96471.45884695445,69514551
10,0.004919526953998244,248.0813112210002,178760,1.911886049178332,96412.35883458635,69471965
13,0.0038377075640489977,193.52745365044825,139450,1.9108042297883827,96357.8049770158,69432655
16,0.003161570445330719,159.43129266885327,114881,1.9101280926696644,96323.70881603421,69408086
20,0.0025755849424415446,129.88128648480432,93588,1.9095421071667753,96294.15880985015,69386793
26,0.0020346752474669216,102.60435769952835,73933,1.9090011974718006,96266.88188106488,69367138
33,0.0016522138469798147,83.31764037660597,60036,1.9086187360713136,96247.59516374196,69353241
41,0.0013750292779856742,69.33981040041132,49964,1.9083415515023194,96233.61733376577,69343169
53,0.0011161493503402036,56.28504466792765,40557,1.908082671574674,96220.56256803327,69333762
67,0.000931327113439084,46.96485122209977,33841,1.9078978493377727,96211.24237458744,69327046
84,0.0007897243622078691,39.82412478103605,28696,1.9077562465865416,96204.10164814639,69321901
106,0.0006738961406125246,33.98315320826806,24487,1.9076404183649462,96198.26067657361,69317692
135,0.0005788935992636158,29.192376524341185,21035,1.9075454158235974,96193.4698998897,69314240
170,0.0005074008145973983,25.587147011690327,18437,1.907473923038931,96189.86467037704,69311642
215,0.0004496840482389571,22.676612886859246,16340,1.9074162062725726,96186.9541362522,69309545
272,0.00040399160820519105,20.372440038034632,14679,1.907370513832539,96184.64996340338,69307884
343,0.0003683159344741575,18.57339147083563,13383,1.9073348381588078,96182.85091483618,69306588
434,0.0003396586917860759,17.128267496820257,12342,1.9073061809161198,96181.40579086218,69305547
548,0.00031718825977377615,15.995131264528023,11525,1.9072837104841074,96180.27265462988,69304730
692,0.00029938691965816056,15.097447434625689,10878,1.9072659091439919,96179.37497079998,69304083
875,0.00028521874829185584,14.382976599721516,10363,1.9072517409726255,96178.66049996507,69303569
1105,0.00027406722068677676,13.820628712159523,9958,1.9072405894450204,96178.09815207751,69303163
1396,0.000265223761995973,13.37467184511557,9637,1.9072317459863297,96177.65219521047,69302842
1763,0.0002582333110499811,13.022158228882951,9383,1.9072247555353836,96177.29968159423,69302588
2227,0.0002526931510155748,12.74277970762235,9182,1.9072192153753493,96177.02030307298,69302387
2813,0.0002483080002880215,12.521645856224504,9022,1.9072148302246217,96176.79916922157,69302227
3554,0.0002448333755193796,12.346427897939902,8896,1.907211355599853,96176.62395126329,69302101
