N_M,Variance,Variance(amp),Sample#,Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty
1,1.7322438710548156,87342.27252196737,62936322,1.954076886177063,98527.41797690772,70996016
2,0.8661355777569405,43671.82412217319,31468657,1.087968592879188,54856.96957711354,39528350
3,0.5774328133243154,29115.00798890846,20979435,0.7992658284465628,40300.1534438488,29039128
4,0.43308143110800296,21836.5999222761,15734824,0.6549144462302503,33021.74537721644,23794517
5,0.3464706017782155,17469.55508229668,12588057,0.5683036169004629,28654.70053723703,20647750
6,0.2887300488916904,14558.191855643732,10490213,0.5105630640139378,25743.337310584076,18549906
8,0.21655435778353418,10918.987822327552,7867907,0.43838737290578156,22104.133277267898,15927600
10,0.17324894311864045,8735.465402337843,6294524,0.3950819582408879,19920.610857278192,14354217
13,0.13327471419720005,6719.906245424265,4842170,0.35510772931944745,17905.051700364613,12901863
16,0.1082908211212998,5460.181772353279,3934449,0.3301238362435472,16645.327227293623,11994142
20,0.08663811378885293,4368.420562358425,3147757,0.30847112891110035,15553.566017298772,11207451
26,0.06665099932813273,3360.6409839016355,2421580,0.28848401445038013,14545.786438841982,10481274
33,0.05251869617408815,2648.0695647907746,1908122,0.27435171129633557,13833.215019731122,9967815
41,0.04227646949798615,2131.641497978722,1535999,0.26410948462023354,13316.786952919068,9595692
53,0.032710616281626734,1649.3171714278428,1188450,0.25454363140387415,12834.46262636819,9248143
67,0.025881263363479595,1304.9711969997277,940324,0.247714278485727,12490.116651940074,9000017
84,0.020648910489967198,1041.1483033264863,750221,0.2424819256122146,12226.293758266833,8809914
106,0.016368950370346073,825.3464469034243,594720,0.23820196549259348,12010.49190184377,8654414
135,0.012858518433848748,648.3453283018827,467178,0.23469153355609615,11833.490783242229,8526872
170,0.01021679379198159,515.145703553055,371199,0.232049808914229,11700.2911584934,8430892
215,0.008084105792068903,407.61245167941684,293713,0.2299171209143163,11592.757906619763,8353407
272,0.006395727792138024,322.48196061278657,232371,0.2282287429143854,11507.627415553132,8292064
343,0.005077478589082177,256.0139054681847,184476,0.22691049371132957,11441.15936040853,8244169
434,0.004018566916659308,202.62202836884077,146003,0.2258515820389067,11387.767483309186,8205696
548,0.003188263631685395,160.75692091840065,115836,0.2250212787539328,11345.902375858746,8175530
692,0.002530487618885861,127.59089116453812,91938,0.22436350274113326,11312.736346104884,8151631
875,0.0020069605580319847,101.19389014996395,72917,0.22383997568027938,11286.33934509031,8132610
1105,0.001594901279514056,80.41725794424416,57946,0.22342791640176146,11265.56271288459,8117639
1396,0.0012681272861397328,63.94083469962786,46073,0.22310114240838713,11249.086289639974,8105767
1763,0.0010098236460170582,50.91678692783643,36689,0.22284283876826447,11236.062241868183,8096382
2227,0.0008051095989826785,40.59480491137598,29251,0.22263812472123007,11225.740259851722,8088944
2813,0.0006430742161204256,32.42474363730243,23364,0.22247608933836782,11217.570198577649,8083057
3554,0.0005146836111745157,25.951101332182063,18699,0.22234769873342192,11211.096556272529,8078392
4489,0.0004131647412208487,20.832371253941965,15011,0.22224617986346826,11205.977826194288,8074704
5670,0.00033279002989358773,16.779760615264788,12091,0.222165805152141,11201.925215555611,8071784
7162,0.00026914659067610146,13.570765216144654,9778,0.2221021617129235,11198.71622015649,8069471
9047,0.00021875307701564524,11.029850465618876,7947,0.22205176819926303,11196.175305405965,8067641
11428,0.0001788609892190489,9.018432984500071,6498,0.22201187611146644,11194.163887924846,8066191
14435,0.0001472856081195004,7.426356033289735,5351,0.2219803007303669,11192.571810973635,8065044
18233,0.00012228893373199295,6.1659871077717,4443,0.2219553040559794,11191.311442048118,8064136
23031,0.00010249685047680429,5.168041288284109,3723,0.2219355119727242,11190.313496228631,8063417
29091,8.682921815226987e-05,4.378056324198087,3154,0.22191984434039966,11189.523511264544,8062847
36746,7.442473519331139e-05,3.7526041293892147,2704,0.2219074398574407,11188.898059069736,8062397
46415,6.460464837050306e-05,3.257460972124169,2347,0.2218976197706179,11188.40291591247,8062040
58629,5.6829847637548904e-05,2.865444134444052,2064,0.22188984496988495,11188.01089907479,8061758
74056,5.0675090298476594e-05,2.5551122569304723,1841,0.22188369021254586,11187.700567197277,8061534
93543,4.580232343362612e-05,2.309420216359636,1664,0.22187881744568103,11187.454875156705,8061357
118158,4.19446309250904e-05,2.114909711218517,1523,0.22187495975317248,11187.260364651564,8061217
149249,3.889067811274843e-05,1.9609249384841934,1412,0.22187190580036015,11187.106379878831,8061106
188522,3.6472864591536046e-05,1.8390152403142483,1325,0.22186948798683895,11186.984470180661,8061018
238128,3.4558767784235546e-05,1.7425036764575577,1255,0.22186757389003164,11186.887958616804,8060948
300788,3.304338756853075e-05,1.6660959869941279,1200,0.22186605850981594,11186.811550927341,8060893
379935,3.184370363776298e-05,1.6056061664946977,1156,0.22186485882588516,11186.751061106841,8060850
479909,3.089392791595716e-05,1.5577170838344152,1122,0.22186390905016337,11186.703172024181,8060815
606189,3.0142011060905844e-05,1.519804334962767,1095,0.22186315713330831,11186.665259275309,8060788
765698,2.9546730335020377e-05,1.4897894090876345,1073,0.22186256185258244,11186.635244349434,8060766
967179,2.9075458028992493e-05,1.4660271693285878,1056,0.2218620905802764,11186.611482109674,8060749
1221677,2.8702359694299255e-05,1.4472150049614392,1042,0.2218617174819417,11186.592669945307,8060736
