infid^{-1},Sample#_4,Sample#_thrifty_4,vu,N_mterm,vstar,remain,7_Character,7_Cross_Character,Sample#,Sample#_thrifty,N_m,PartOne_CRM,PartTwo,PartOne_THR
10180.35,1756154,17993891402,2.94E-06,1.923730612,0.030118465,1.923730612,1.27E-07,6.92E-08,1360,1.40E+11,772794500,1.45E-09,1.719736016,0.234113061
9962.718,1718340,17232741030,3.00E-06,1.923730918,0.030118398,1.923730918,1.76E-07,1.06E-07,1700,1.34E+11,219350900,2.11E-09,1.71973696,0.234112356
9874.759,1706323,16929789943,3.03E-06,1.923730813,0.030118383,1.923730813,1.55E-07,9.20E-08,1529,1.32E+11,340179330,1.84E-09,1.719737045,0.234112151
9653.174,1665733,16178479417,3.10E-06,1.923731007,0.030118308,1.923731007,1.62E-07,9.05E-08,1503,1.26E+11,327184200,1.88E-09,1.719737942,0.234111374
9543.354,1648646,15812441962,3.14E-06,1.923731046,0.030118269,1.923731046,2.19E-07,1.24E-07,1847,1.23E+11,348005120,2.58E-09,1.71973836,0.234110955
9510.894,1641617,15705051892,3.15E-06,1.923731056,0.030118259,1.923731056,1.34E-07,8.54E-08,1337,1.22E+11,727370240,1.61E-09,1.719738466,0.23411085
9462.615,1633294,15546006401,3.16E-06,1.923731191,0.030118244,1.923731191,1.56E-07,8.63E-08,1421,1.21E+11,703900000,1.79E-09,1.71973875,0.234110685
9233.471,1593974,14802169642,3.24E-06,1.923731505,0.030118169,1.923731505,1.82E-07,1.02E-07,1533,1.15E+11,734746600,2.11E-09,1.719739807,0.234109867
9118.052,1575974,14434406206,3.29E-06,1.923731432,0.030118123,1.923731432,1.94E-07,1.23E-07,1628,1.12E+11,545995650,2.36E-09,1.719740174,0.23410938
9029.718,1560245,14156071367,3.32E-06,1.92373146,0.030118094,1.92373146,1.51E-07,7.93E-08,1290,1.10E+11,919751300,1.69E-09,1.719740487,0.234109067
8724.501,1507480,13215206127,3.43E-06,1.923731694,0.03011798,1.923731694,2.06E-07,1.29E-07,1590,1.03E+11,294651170,2.50E-09,1.719741836,0.234107837
8590.484,1485165,12812302609,3.49E-06,1.92373199,0.030117922,1.92373199,1.61E-07,1.06E-07,1333,99590288872,669381600,1.97E-09,1.719742685,0.234107227
8538.023,1476573,12656286259,3.51E-06,1.923732009,0.030117903,1.923732009,2.12E-07,5.55E-08,1324,98377538835,1250198700,1.97E-09,1.719742909,0.234107003
8248.386,1427572,11812115318,3.64E-06,1.923732016,0.030117776,1.923732016,2.60E-07,1.51E-07,1701,91815639789,83153630,3.07E-09,1.719744138,0.234105655
8204.018,1420863,11685376074,3.66E-06,1.923732154,0.030117758,1.923732154,2.14E-07,1.23E-07,1463,90830467366,501626180,2.49E-09,1.719744467,0.234105445
8160.1245,1410204,11560663368,3.67E-06,1.923732296,0.030117734,1.923732296,2.79E-07,2.02E-07,1881,89861065278,198011070,3.61E-09,1.719744796,0.234105235
8140.328,1407433,11504634447,3.68E-06,1.923732427,0.030117723,1.923732427,1.82E-07,1.02E-07,1291,89425539662,727370240,2.08E-09,1.719745039,0.234105111
8081.5107,1400515,11338977055,3.72E-06,1.923732324,0.030117707,1.923732324,2.90E-07,5.90E-08,1471,88137844678,259237580,2.59E-09,1.719745151,0.23410488
7876.6274,1364676,10771295795,3.81E-06,1.923732423,0.030117608,1.923732423,2.16E-07,1.10E-07,1356,83725160812,390470850,2.41E-09,1.71974619,0.234103841
7760.0444,1342201,10454780883,3.86E-06,1.923732481,0.03011755,1.923732481,2.75E-07,1.81E-07,1678,81264841568,222856260,3.41E-09,1.719746797,0.234103234
7695.9707,1331485,10282833742,3.90E-06,1.923732755,0.030117514,1.923732755,1.93E-07,9.92E-08,1224,79928264469,1071619300,2.13E-09,1.719747414,0.234102856
7543.7124,1305747,9879958853,3.98E-06,1.923732832,0.030117438,1.923732832,2.26E-07,1.41E-07,1385,76796650375,292372500,2.71E-09,1.719748236,0.234102033
7118.038,1233387,8796342891,4.22E-06,1.923733424,0.030117203,1.923733424,5.35E-07,2.84E-07,2306,68373526489,102002090,6.20E-09,1.719751127,0.2340995
6775.9355,1173992,7971073252,4.43E-06,1.923733768,0.030116978,1.923733768,2.68E-07,1.77E-07,1363,61958580343,338845280,3.28E-09,1.719753621,0.234097125
6452.7754,1119296,7228834156,4.66E-06,1.923734223,0.030116761,1.923734223,3.43E-07,1.49E-07,1367,56189049173,302068700,3.63E-09,1.71975621,0.234094774
6398.6333,1109077,7108025650,4.70E-06,1.923734265,0.03011672,1.923734265,4.23E-07,3.03E-07,1780,55249991401,170090880,5.45E-09,1.719756636,0.234094349
6241.524,1083248,6763230420,4.82E-06,1.923734379,0.030116606,1.923734379,3.57E-07,1.63E-07,1357,52569848838,435826530,3.84E-09,1.719757893,0.234093091
6213.7837,1078010,6703241182,4.84E-06,1.923734641,0.030116582,1.923734641,3.81E-07,1.90E-07,1437,52103547998,274209000,4.23E-09,1.719758364,0.234092859
5949.367,1032908,6144847746,5.06E-06,1.923734851,0.030116372,1.923734851,4.90E-07,2.29E-07,1587,47763086300,145789860,5.35E-09,1.719760643,0.23409058
5926.251,1027871,6097183261,5.07E-06,1.923734995,0.030116347,1.923734995,5.25E-07,3.35E-07,1801,47392586804,85506630,6.45E-09,1.719761002,0.23409034
5924.158,1027122,6092878170,5.07E-06,1.923735114,0.030116347,1.923735114,5.02E-07,1.55E-07,1481,47359125284,76720900,4.87E-09,1.719761112,0.234090349
5614.8647,972981,5473231024,5.35E-06,1.923735632,0.030116068,1.923735632,5.11E-07,2.57E-07,1532,42542542624,107634860,5.71E-09,1.719764338,0.234087362
5252.729,912905,4789938345,5.74E-06,1.923736233,0.030115705,1.923736233,6.01E-07,3.76E-07,1656,37231239199,171459100,7.30E-09,1.719768519,0.23408342
5194.1846,902679,4683750516,5.80E-06,1.923736537,0.03011564,1.923736537,5.63E-07,1.78E-07,1344,36405833303,295326430,5.46E-09,1.719769455,0.234082722
5154.2905,895244,4612071968,5.84E-06,1.92373635,0.030115588,1.92373635,1.77E-06,1.48E-06,4309,35848674497,6771112,2.49E-08,1.719769719,0.234082219
5121.2505,889761,4553126570,5.88E-06,1.923736627,0.03011555,1.923736627,6.74E-07,3.14E-07,1610,35390483957,179319920,7.37E-09,1.719770389,0.234081788
5026.1284,872138,4385540942,5.99E-06,1.923736743,0.030115434,1.923736743,4.92E-07,2.16E-07,1249,34087832009,296683940,5.18E-09,1.719771598,0.234080579
5020.1123,872735,4375050258,6.00E-06,1.923736736,0.030115441,1.923736736,4.98E-07,2.77E-07,1323,34006281976,259015200,5.70E-09,1.719771599,0.234080578
4959.2715,861598,4269635131,6.07E-06,1.923736818,0.030115359,1.923736818,4.96E-07,2.37E-07,1257,33186884857,350440580,5.37E-09,1.719772439,0.234079737
4949.0312,860344,4252018778,6.09E-06,1.923737069,0.030115346,1.923737069,5.86E-07,3.44E-07,1469,33049951097,206520140,6.89E-09,1.719772821,0.234079594
4917.1206,854507,4197357945,6.13E-06,1.923737105,0.03011531,1.923737105,5.84E-07,3.20E-07,1428,32625069529,178617900,6.69E-09,1.719773213,0.234079202
4882.7754,847732,4138920214,6.16E-06,1.923737153,0.030115262,1.923737153,7.17E-07,2.52E-07,1483,32170831174,151190820,7.19E-09,1.719773698,0.234078717
4834.9326,839922,4058200898,6.23E-06,1.923737213,0.030115202,1.923737213,8.17E-07,6.04E-07,1936,31543394765,38172120,1.07E-08,1.719774351,0.234078065
4692.9277,815332,3823294233,6.42E-06,1.923737399,0.030115016,1.923737399,5.25E-07,2.89E-07,1252,29717453260,238732980,5.96E-09,1.719776345,0.23407607
4669.417,811163,3785078247,6.45E-06,1.923737674,0.03011498,1.923737674,6.68E-07,3.38E-07,1431,29420398161,133406730,7.45E-09,1.719776961,0.234075693
4660.338,809704,3770371277,6.46E-06,1.923737686,0.030114968,1.923737686,8.52E-07,6.38E-07,1897,29306080180,60830256,1.12E-08,1.719777093,0.23407556
4601.5405,799881,3675823547,6.55E-06,1.923738003,0.030114889,1.923738003,5.77E-07,3.41E-07,1320,28571153909,213911970,6.76E-09,1.719778208,0.234074684
4588.954,797744,3655740762,6.57E-06,1.923738018,0.030114874,1.923738018,9.36E-07,4.23E-07,1730,28415050039,100939500,1.02E-08,1.719778375,0.234074517
4551.605,790826,3596468318,6.62E-06,1.923738078,0.030114813,1.923738078,6.40E-07,3.09E-07,1330,27954324707,108172660,6.99E-09,1.719778985,0.234073907
4440.7666,772231,3423423769,6.79E-06,1.923738479,0.030114652,1.923738479,7.15E-07,4.02E-07,1436,26609242085,100723590,8.27E-09,1.719780978,0.234072152
4391.9414,763207,3348549136,6.86E-06,1.92373856,0.030114571,1.92373856,8.53E-07,5.49E-07,1659,26027240308,91354610,1.05E-08,1.719781822,0.234071309
4371.3433,760008,3317210768,6.89E-06,1.923738587,0.030114543,1.923738587,8.18E-07,2.68E-07,1378,25783645780,194204670,8.01E-09,1.719782135,0.234070996
4293.044,746713,3199426860,7.02E-06,1.923738944,0.030114424,1.923738944,7.33E-07,4.39E-07,1416,24868107211,117085230,8.67E-09,1.719783681,0.234069688
4223.871,735000,3097142022,7.14E-06,1.923739062,0.030114307,1.923739062,3.01E-06,2.14E-06,4555,24073048547,37319140,3.95E-08,1.719784904,0.234068465
4119.13,716681,2945425995,7.32E-06,1.923739486,0.030114121,1.923739486,8.41E-07,4.19E-07,1406,22893754978,150992780,9.31E-09,1.719787148,0.234066459
4023.3132,700072,2809974517,7.50E-06,1.923739894,0.030113952,1.923739894,7.96E-07,4.59E-07,1358,21840890287,149130820,9.25E-09,1.719789221,0.234064625
3986.981,693815,2759446949,7.57E-06,1.923739962,0.030113884,1.923739962,9.65E-07,5.88E-07,1554,21448139418,55625484,1.16E-08,1.719789955,0.234063891
3975.6436,691928,2743773723,7.59E-06,1.923739984,0.030113862,1.923739984,9.74E-07,5.48E-07,1526,21326311713,80838290,1.13E-08,1.719790187,0.234063658
3963.434,689570,2726944782,7.61E-06,1.923740004,0.030113842,1.923740004,9.69E-07,5.61E-07,1525,21195501605,138910960,1.14E-08,1.7197904,0.234063446
3916.2502,681376,2662395572,7.70E-06,1.92374034,0.030113744,1.92374034,9.36E-07,4.28E-07,1386,20693761733,129549400,1.01E-08,1.719791658,0.234062426
3855.9448,671215,2581021834,7.82E-06,1.923740218,0.030113627,1.923740218,1.30E-06,7.30E-07,1800,20061244466,7035019.5,1.52E-08,1.719792689,0.234061157
3760.0215,654318,2454187824,8.02E-06,1.923740896,0.030113426,1.923740896,8.38E-07,5.06E-07,1300,19075367052,159121140,9.88E-09,1.71979531,0.234059012
3710.1318,645417,2389484845,8.13E-06,1.923741241,0.03011332,1.923741241,1.10E-06,7.22E-07,1571,18572433459,74787790,1.36E-08,1.719796685,0.234057876
3607.2278,627872,2258756528,8.36E-06,1.923741471,0.03011309,1.923741471,8.55E-07,4.84E-07,1230,17556286315,164216200,9.79E-09,1.719799172,0.234055389
3536.5127,615749,2171052325,8.53E-06,1.923741878,0.030112921,1.923741878,9.38E-07,5.50E-07,1282,16874565224,141253180,1.09E-08,1.719801222,0.234053578
3503.2817,610178,2130437867,8.62E-06,1.923742192,0.030112846,1.923742192,1.07E-06,6.64E-07,1403,16558871241,59609576,1.28E-08,1.719802285,0.234052753
3436.5457,598332,2050031383,8.78E-06,1.923742366,0.030112671,1.923742366,1.49E-06,7.71E-07,1644,15933877687,26716272,1.69E-08,1.719804114,0.234050924
