mag,infid^{-1},Sample#,Variance,Variance(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty
0.05,19.999971,71.0,3.0371026394515657e-05,0.6074187877884102,0.0067089409534343,134.17843468125173,1546961
0.1,9.999991,70.0,0.000121443699862,0.6072174949549413,0.0059785852254299,29.89287668346796,344639
0.15,6.666662,70.0,0.0002732305082139,0.6071781290433269,0.0053089430998969,11.79763621443515,136016
0.2,4.999997,70.0,0.0004857313470702,0.6071635188508379,0.0047000160432652,5.875013619558963,67733
0.25,3.999999,70.0,0.0007589463375581,0.6071567805316214,0.0041518026411163,3.3214405291068183,38293
0.3,3.3333325,70.0,0.0010928754381496,0.6071527457547853,0.0036643032349839,2.035723095914334,23470
0.35,2.8571422,70.0,0.0014875184914728,0.6071500974458612,0.0032375182036054,1.3214353327840318,15235
0.4,2.4999995,70.0,0.0019428759835037,0.607148475690202,0.0028714470121386,0.8973267934998056,10345
0.45,2.222222,70.0,0.002458947164303,0.6071473121563575,0.0025660902185536,0.6336023813619265,7304
0.5,1.9999998,70.0,0.0030357329692688,0.607146449098776,0.0023214473968989,0.4642893686845776,5352
0.55,1.8181816,70.0,0.0036732323888547,0.6071457106242659,0.0021375186794738,0.3533087918857277,4073
0.6000000000000001,1.6666666,70.0,0.0043714463954501,0.6071453085756252,0.0020143039431221,0.2797644254279053,3225
0.65,1.5384614,70.0,0.0051303743940707,0.607144835322918,0.0019518031763329,0.2309826003043767,2663
0.7000000000000001,1.4285713,70.0,0.0059500158113724,0.6071443848771727,0.0019500169736628,0.1989812957659206,2294
0.75,1.3333334,70.0,0.0068303722146441,0.6071441968572618,0.0020089449874244,0.178572887771059,2058
0.8,1.25,70.0,0.0077714426244863,0.6071439120640392,0.0021285868805643,0.1662958382735821,1917
0.8500000000000001,1.1764705,70.0,0.0087732275290903,0.6071437516007493,0.0023089427788565,0.1597884218023655,1842
0.9,1.111111,70.0,0.0098357258208035,0.6071435227210641,0.0025500125051725,0.1574081672852858,1814
0.95,1.0526316,70.0,0.0109589373568237,0.6071433615115301,0.0028517967040768,0.1579942818253835,1821
1.0,1.0,70.0,0.0121428646151758,0.6071432307587925,0.0032142952905062,0.1607147645253145,1852
