mag,infid^{-1},Sample#,Variance,Variance(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty
0.05,19.999971,9.0,3.712301624645014e-06,0.0742458197973187,0.0010491192165353,20.982324221631,241908
0.1,9.999991,9.0,1.4737800578590434e-05,0.0736888810094139,0.0009434700148492,4.717342271625952,54386
0.15,6.666662,9.0,3.311351619826722e-05,0.0735854972519003,0.000845171006136,1.878155384557584,21653
0.2,4.999997,9.0,5.8839433986128735e-05,0.0735492119289642,0.0007542223022698,0.9427768452748037,10869
0.25,3.999999,9.0,9.19155712688068e-05,0.0735324219520543,0.0006706237659308,0.5364987569221171,6185
0.3,3.3333325,9.0,0.0001323419188394,0.0735232548897542,0.0005943754130598,0.3302084130094879,3807
0.35,2.8571422,9.0,0.0001801184648714,0.0735177035616024,0.0005254773062019,0.2144804246098487,2472
0.4,2.4999995,9.0,0.0002352452584793,0.0735141106852778,0.0004639293968382,0.1449778722418694,1671
0.45,2.222222,9.0,0.0002977222199093,0.0735116427922321,0.000409731719647,0.1011683032073004,1166
0.5,1.9999998,9.0,0.0003675494530439,0.0735098730826619,0.000362884239582,0.0725768306127445,836
0.55,1.8181816,9.0,0.0004447268522434,0.0735085538171555,0.0003233869828067,0.0534523816349353,616
0.6000000000000001,1.6666666,9.0,0.0005292544887769,0.0735075649647553,0.0002912399240374,0.0404499878423013,466
0.65,1.5384614,9.0,0.0006211323884011,0.0735067838529298,0.0002664430629824,0.0315317201380824,363
0.7000000000000001,1.4285713,9.0,0.0007203603543806,0.0735061482381959,0.0002489964467815,0.0254077971068331,292
0.75,1.3333334,9.0,0.0008269386582186,0.0735056585083218,0.0002389000902852,0.0212355635809137,244
0.8,1.25,9.0,0.0009408671382184,0.0735052399705741,0.0002361538924828,0.0184495215443586,212
0.8500000000000001,1.1764705,9.0,0.0010621459006908,0.0735049039540509,0.0002407578973637,0.0166614455795482,192
0.9,1.111111,9.0,0.0011907748496204,0.0735046147216759,0.0002527120855372,0.0155995102590927,179
0.95,1.0526316,9.0,0.0013267538127092,0.0735043684910727,0.0002720165411344,0.0150701689218296,173
1.0,1.0,9.0,0.0014700832073469,0.0735041603673482,0.000298671213765,0.0149335606882529,172
