mag,infid^{-1},Sample#,Variance,Variance(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty
0.05,19.999971,5.0,1.932275054535877e-06,0.0386453903814034,0.0005439991341553,10.879951514784532,125436
0.1,9.999991,5.0,7.613498780751741e-06,0.038067430939128,0.0004893181612018,2.446586759283982,28207
0.15,6.666662,5.0,1.708214482614035e-05,0.0379602731897825,0.0004384246016751,0.9742756440772328,11232
0.2,4.999997,5.0,3.033820713102265e-05,0.0379227173794777,0.0003913185036011,0.4891475937697596,5639
0.25,3.999999,5.0,4.738169225155468e-05,0.0379053357265711,0.0003479998057325,0.2783997118347069,3209
0.3,3.3333325,5.0,6.821259953583167e-05,0.0378958714392684,0.0003084685163431,0.1713713202245216,1975
0.35,2.8571422,5.0,9.283091712718584e-05,0.0378901510823929,0.0002727246673667,0.1113161344325095,1283
0.4,2.4999995,5.0,0.0001212366759831,0.0378864444492992,0.0002407682246433,0.0752400368464074,867
0.45,2.222222,5.0,0.0001534298306116,0.0378839003183173,0.0002125992154291,0.052493621696409,605
0.5,1.9999998,5.0,0.0001894104341907,0.037882077806355,0.0001882176168733,0.0376435143997656,433
0.55,1.8181816,5.0,0.0002291784372641,0.0378807247738172,0.00016762344723,0.0277063485813064,319
0.6000000000000001,1.6666666,5.0,0.0002727338810938,0.0378797042022705,0.000150816688699,0.0209467614869573,241
0.65,1.5384614,5.0,0.0003200767557673,0.0378789020535561,0.0001377973367566,0.0163073754285389,188
0.7000000000000001,1.4285713,5.0,0.000371206987966,0.0378782587333588,0.0001285654339333,0.0131189199787883,151
0.75,1.3333334,5.0,0.0004261247072696,0.0378777517573035,0.0001231209691987,0.0109440861509985,126
0.8,1.25,5.0,0.0004848298223529,0.0378773271903497,0.0001214639002426,0.0094893665347965,109
0.8500000000000001,1.1764705,5.0,0.0005473223872556,0.0378769804421019,0.0001235942494675,0.0085532349467943,98
0.9,1.111111,5.0,0.0006136023717849,0.0378766867176754,0.0001295119981217,0.0079945671734756,92
0.95,1.0526316,5.0,0.0006836696679216,0.0378764369965999,0.0001392171978956,0.0077128643734737,88
1.0,1.0,5.0,0.0007575244906618,0.0378762245330942,0.0001527098231579,0.0076354911578975,88
