mag,infid^{-1},Sample#,Variance,Variance(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty
0.05,19.999971,29.0,1.247525809985458e-05,0.2495044472296656,0.0034127965761281,68.25573598706366,786929
0.1,9.999991,29.0,4.9811201458845626e-05,0.2490555953490776,0.0030649900055093,15.324924679678698,176683
0.15,6.666662,29.0,0.0001120373760926,0.2489716278153506,0.002742073586229,6.0934890494814,70252
0.2,4.999997,29.0,0.0001991537327654,0.2489418933068772,0.0024440476407325,3.0550562049101733,35222
0.25,3.999999,29.0,0.000311160330408,0.248928145628275,0.0021709118341658,1.7367286391959469,20022
0.3,3.3333325,29.0,0.0004480571531509,0.248920527714708,0.0019226661483576,1.0681473756255702,12314
0.35,2.8571422,29.0,0.0006098441259065,0.2489158437985634,0.0016993107712174,0.6935958821687865,7996
0.4,2.4999995,29.0,0.0007965214285357,0.248912836071992,0.0015008455005906,0.4690140110161751,5407
0.45,2.222222,29.0,0.0010080888345896,0.2489107676737947,0.001327270587721,0.3277210594589807,3778
0.5,1.9999998,29.0,0.0012445466043567,0.2489092615267617,0.0011785858159749,0.23571710699566,2717
0.55,1.8181816,29.0,0.0015058944365752,0.2489081144426699,0.0010547913029932,0.1743456300666517,2010
0.6000000000000001,1.6666666,29.0,0.0017921326806188,0.2489073068619279,0.0009558869341605,0.1327620689134679,1530
0.65,1.5384614,29.0,0.0021032611815694,0.2489066227215143,0.000881872768683,0.1043636303690857,1203
0.7000000000000001,1.4285713,29.0,0.0024392794706191,0.2489060333086671,0.0008327489401897,0.0849743696617225,979
0.75,1.3333334,29.0,0.0028001883696527,0.2489056328580201,0.0008085154373494,0.0718680388755038,828
0.8,1.25,29.0,0.0031859873526994,0.2489052443119999,0.0008091719689894,0.0632165556027999,728
0.8500000000000001,1.1764705,29.0,0.0035966768077973,0.2489049603627354,0.0008347187641237,0.0577660023407803,665
0.9,1.111111,29.0,0.004032256379395,0.2489046957289425,0.0008851555980766,0.0546392302676661,629
0.95,1.0526316,29.0,0.0044927255139203,0.2489044678380034,0.0009604828607438,0.0532123484019293,613
1.0,1.0,29.0,0.0049780856265333,0.2489042813266676,0.0010607003689746,0.0530350184487329,611
