mag,infid^{-1},Sample#,Variance,Variance(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty
0.05,19.999971,17.0,6.969977474562656e-06,0.1393991501477831,0.0019544801350559,39.089490719568765,450668
0.1,9.999991,17.0,2.7776338720672543e-05,0.1388814638894088,0.0017569107443878,8.78453919205767,101278
0.15,6.666662,16.0,6.245338740241814e-05,0.1387851274855851,0.0015732119540458,3.496022084394604,40306
0.2,4.999997,16.0,0.0001110010966826,0.1387512188880846,0.001403384013887,1.7542280960661862,20224
0.25,3.999999,16.0,0.0001734194985892,0.1387355327171332,0.0012474266989689,0.9979408833198894,11505
0.3,3.3333325,16.0,0.0002497085843555,0.138726928374092,0.001105340002816,0.6140775007613667,7079
0.35,2.8571422,16.0,0.0003398683090961,0.1387216886172453,0.0009771240817112,0.3988259539820863,4598
0.4,2.4999995,16.0,0.0004438987844417,0.1387183086429108,0.0008627787352451,0.2696182352397794,3108
0.45,2.222222,16.0,0.0005617998672541,0.1387159855750038,0.0007623041540675,0.188223205812126,2170
0.5,1.9999998,16.0,0.0006935717200023,0.1387143109283962,0.0006757002191619,0.1351400116125071,1558
0.55,1.8181816,16.0,0.0008392141768998,0.1387130553857193,0.0006029669788428,0.0996639406652527,1149
0.6000000000000001,1.6666666,16.0,0.0009987273910419,0.1387121321327877,0.0005441043864556,0.0755700506715089,871
0.65,1.5384614,16.0,0.0011721113033325,0.1387113823631365,0.0004991124577196,0.0590665568774173,680
0.7000000000000001,1.4285713,16.0,0.0013593656844594,0.13871076455575,0.0004679912652398,0.0477542040004122,550
0.75,1.3333334,16.0,0.0015604909464572,0.1387103063517532,0.0004507408385909,0.0400658523191955,461
0.8,1.25,16.0,0.0017754868472958,0.1387099001270321,0.0004473609835009,0.0349500743622298,402
0.8500000000000001,1.1764705,16.0,0.0020043535929606,0.1387095861733251,0.0004578518210254,0.0316852459796444,365
0.9,1.111111,16.0,0.0022470909242877,0.1387093056987165,0.0004822132749158,0.0297662492600238,343
0.95,1.0526316,16.0,0.002503698521685,0.1387090634039261,0.0005204454744426,0.0288335451283326,332
1.0,1.0,16.0,0.0027741772454553,0.1387088622727657,0.000572548394277,0.0286274197138521,330
