infid^{-1},1_Character,1_Cross_Character,Sample#,Variance,Variance(amp),1_Character(amp),1_Cross_Character(amp),unamed1,unamed2
102.34503,0.010753354,0.0106437635,10112,0.0001674749,28.067465,1802.177,1783.8104,(1.7210348-3.511058e-16j),288431.78
91.75098,0.01339268,0.01327257,10100,0.00020813632,28.034267,1803.885,1787.7072,(1.7210345-2.802114e-16j),231809.34
84.76509,0.015663179,0.015507983,10061,0.00024291122,27.925545,1800.6693,1782.8278,(1.7210344-2.2391422e-16j),197853.45
76.35309,0.019330122,0.019153055,10059,0.0002993481,27.922201,1803.0498,1786.5337,(1.7210342-1.4258816e-16j),160532.38
69.28325,0.023482792,0.02327145,10049,0.0003631857,27.893642,1803.5417,1787.3102,(1.7210339-5.9205975e-17j),132180.05
63.590046,0.027865807,0.027596159,10032,0.00043039178,27.84596,1802.8926,1785.4465,(1.7210336+2.120526e-17j),111349.32
57.727856,0.03381366,0.03349624,10024,0.0005218357,27.824326,1802.9474,1786.0225,(1.7210332+1.2029044e-16j),91765.65
52.41963,0.04100126,0.040614538,10014,0.0006322496,27.796902,1802.6237,1785.6213,(1.7210327+2.2878143e-16j),75665.336
48.299496,0.048207484,0.047711194,9986,0.0007426331,27.71912,1799.3663,1780.8422,(1.7210321+3.2899016e-16j),64238.312
43.249832,0.060276985,0.05973652,10013,0.00092861074,27.792177,1804.016,1787.8406,(1.7210314+4.773648e-16j),51508.35
40.139378,0.06987211,0.069170974,9988,0.0010754735,27.724323,1801.2131,1783.1387,(1.7210307+5.8687276e-16j),44365.957
36.011417,0.08692289,0.086101905,10000,0.0013377554,27.757298,1803.5768,1786.542,(1.7210295+7.6052494e-16j),35709.914
32.88554,0.10421086,0.1031635,9992,0.0016028652,27.73492,1803.1959,1785.0731,(1.7210283+9.20144e-16j),29779.537
30.165627,0.12390804,0.12259204,9991,0.0019048421,27.733433,1804.0316,1784.8713,(1.721027+1.0849987e-15j),25057.19
27.070505,0.15386589,0.15247521,9997,0.002366709,27.749653,1804.0768,1787.7711,(1.721025+1.3112577e-15j),20179.01
25.727901,0.1711243,0.16801274,9996,0.0026198311,27.746105,1812.343,1779.3892,(1.7210239+1.4267342e-15j),18227.018
22.564276,0.22132686,0.219237,9986,0.003402643,27.719103,1803.0049,1785.9802,(1.7210202+1.7467627e-15j),14020.024
20.46204,0.26920265,0.266755,9989,0.0041389074,27.727043,1803.4213,1787.0243,(1.721017+2.0119017e-15j),11529.302
18.676775,0.32300076,0.32001108,9983,0.0049651507,27.711256,1802.716,1786.0302,(1.7210133+2.2814593e-15j),9605.235
16.899534,0.3947591,0.3912198,9990,0.006068603,27.730532,1803.855,1787.6821,(1.7210084+2.6023982e-15j),7864.162
15.412585,0.47443998,0.47016555,9986,0.0072928877,27.718552,1803.2349,1786.9888,(1.7210029+2.9234436e-15j),6541.1274
14.136896,0.56380045,0.55833447,9980,0.008663054,27.701233,1802.8247,1785.3466,(1.7209969+3.2501156e-15j),5503.11
12.748392,0.69373286,0.6875062,9989,0.010662883,27.727165,1803.9442,1787.7528,(1.720988+3.6726756e-15j),4475.161
11.720025,0.82011986,0.8122157,9977,0.012600805,27.693342,1802.4135,1785.0421,(1.7209793+4.0430238e-15j),3782.2717
10.578013,1.0075978,0.99849313,9988,0.015485548,27.72393,1803.9124,1787.6122,(1.7209666+4.5294566e-15j),3081.0635
9.628134,1.2161996,1.2052599,9988,0.018691408,27.723385,1803.8861,1787.6602,(1.7209524+5.010059e-15j),2552.5432
8.773557,1.4644867,1.4512731,9986,0.02250645,27.71905,1803.6688,1787.3948,(1.7209355+5.520144e-15j),2119.5122
