infid^{-1},1_Character,1_Cross_Character,Sample#,Variance,Variance(amp),1_Character(amp),1_Cross_Character(amp),unamed1,unamed2
100.69935,0.012253026,0.012153324,11049,0.00018902533,30.668554,1988.0011,1971.825,(1.8964493+4.0994985e-17j),307690.8
95.39826,0.013742708,0.013517816,11072,0.00021106546,30.73393,2001.1205,1968.3733,(1.8964492+3.6827762e-17j),276148.16
83.99191,0.017614381,0.017465541,11038,0.00027143955,30.638538,1988.2102,1971.41,(1.896449+2.6101898e-17j),214060.27
76.83564,0.021053772,0.020864397,11034,0.0003242399,30.627523,1988.7278,1970.8396,(1.8964487+1.7760238e-17j),179137.52
69.2515,0.025906779,0.025695845,11031,0.00039901675,30.617487,1987.8877,1971.7023,(1.8964485+7.067679e-18j),145518.92
63.03622,0.031268578,0.031013876,11028,0.0004814792,30.611021,1987.9636,1971.7704,(1.8964481-3.5815796e-18j),120570.555
57.49816,0.037583776,0.037269108,11025,0.00057853933,30.602774,1988.0546,1971.4098,(1.8964477-1.4974687e-17j),100315.664
52.547523,0.045002535,0.044611737,11023,0.00069251645,30.595293,1988.2065,1970.9412,(1.8964473-2.7154389e-17j),83784.81
47.531296,0.054996356,0.054547884,11023,0.0008464023,30.595398,1987.9854,1971.774,(1.8964466-4.2025272e-17j),68551.96
43.515358,0.06561875,0.06505643,11020,0.0010095602,30.587032,1988.0765,1971.0396,(1.896446-5.635492e-17j),57457.35
39.364563,0.0801829,0.07953079,11020,0.0012337761,30.589134,1987.9827,1971.8148,(1.896445-7.413847e-17j),47018.75
35.86285,0.09660124,0.0958156,11019,0.001486287,30.58527,1987.8899,1971.7228,(1.8964441-9.225232e-17j),39025.61
32.6754,0.1163702,0.11541848,11018,0.0017902887,30.583334,1987.9413,1971.6831,(1.8964429-1.1198153e-16j),32396.756
29.729021,0.14058033,0.13942793,11018,0.0021626067,30.581497,1987.9513,1971.6553,(1.8964413-1.3396672e-16j),26817.645
27.072557,0.16951829,0.16813758,11017,0.0026077211,30.580158,1987.9027,1971.7114,(1.8964396-1.5760448e-16j),22239.12
24.642733,0.20462093,0.20293224,11017,0.0031474198,30.581049,1988.1437,1971.736,(1.8964374-1.8354929e-16j),18426.219
22.561666,0.24410962,0.24201873,11015,0.0037541194,30.575275,1988.141,1971.1118,(1.8964349-2.0996204e-16j),15445.438
20.454382,0.2969954,0.2945416,11017,0.0045680134,30.578773,1988.1193,1971.6932,(1.8964317-2.4196756e-16j),12694.918
18.567945,0.36038172,0.35744923,11016,0.0055431654,30.577751,1987.9729,1971.7964,(1.8964278-2.7641888e-16j),10461.261
16.899399,0.43504903,0.43150973,11016,0.006691536,30.576536,1987.9281,1971.7555,(1.8964231-3.128331e-16j),8665.581
15.443357,0.5209543,0.5166297,11015,0.008012069,30.573711,1987.9391,1971.4366,(1.8964177-3.506695e-16j),7236.648
14.082631,0.62644637,0.6212076,11013,0.009634076,30.570156,1987.7946,1971.1713,(1.8964113-3.9251933e-16j),6017.556
12.878268,0.74960726,0.7427149,11016,0.011523241,30.578037,1989.1555,1970.866,(1.8964037-4.3605285e-16j),5032.291
11.617228,0.92061675,0.91310847,11015,0.014159308,30.575033,1987.9424,1971.7294,(1.896393-4.9058036e-16j),4094.994
10.589698,1.1079714,1.0987669,11015,0.017039448,30.57332,1987.9967,1971.4813,(1.8963814-5.43508e-16j),3402.6147
9.640803,1.336725,1.32563,11014,0.020557389,30.571337,1987.8726,1971.3729,(1.8963672-6.0138836e-16j),2820.1287
8.756632,1.6204232,1.6072166,11016,0.024922127,30.5759,1988.0284,1971.8258,(1.8963495-6.6504744e-16j),2326.5508
8.022647,1.9310012,1.9142947,11016,0.029691229,30.576199,1988.5562,1971.3518,(1.8963304-7.274153e-16j),1952.8519
7.3806186,2.2867084,2.2606843,11025,0.035112444,30.60318,1993.0413,1970.3593,(1.8963087-8.0397133e-16j),1652.7781
6.603914,2.8488727,2.8256998,11015,0.04381559,30.57394,1987.9058,1971.7361,(1.8962734-8.770795e-16j),1323.1946
6.1014295,3.341581,3.3087912,11019,0.051350098,30.586123,1990.3761,1970.8452,(1.8962432-9.454926e-16j),1129.4764
5.4713373,4.150756,4.1169806,11016,0.06383816,30.576471,1988.0814,1971.9042,(1.8961928-1.0412992e-15j),908.2167
5.0021367,4.9660516,4.9240036,11014,0.07636451,30.571915,1988.1187,1971.285,(1.8961422-1.1278111e-15j),759.1052
4.6024923,5.879152,5.814298,11025,0.090289384,30.601505,1992.6029,1970.6223,(1.8960865-1.1751488e-15j),642.63477
4.1908045,7.0787582,7.0132723,11016,0.1088092,30.575983,1989.1699,1970.7681,(1.8960116-1.2993875e-15j),532.7897
3.7581348,8.797327,8.725451,11015,0.13529897,30.574488,1987.9957,1971.7535,(1.8959048-1.3977299e-15j),428.43134
3.4197865,10.624554,10.538124,11016,0.16340369,30.575941,1988.0563,1971.8835,(1.8957914-1.4915946e-15j),354.73865
3.123192,12.7370205,12.632258,11014,0.19588394,30.571463,1987.8573,1971.5072,(1.8956605-1.5801229e-15j),295.85434
2.8329325,15.48213,15.356134,11015,0.23811163,30.575464,1988.0311,1971.8522,(1.8954904-1.6642181e-15j),243.39635
2.609401,18.26332,18.0905,11017,0.280699,30.58035,1989.6713,1970.8435,(1.895319-1.7129123e-15j),206.4828
2.3737962,22.054539,21.858788,11013,0.33906767,30.569849,1988.4052,1970.7565,(1.8950833-1.801438e-15j),170.85796
2.1563814,26.723045,26.494148,11014,0.41090548,30.571238,1988.186,1971.1561,(1.8947937-1.8268398e-15j),140.97205
1.9503447,32.663364,32.3953,11015,0.502337,30.57299,1987.9419,1971.6272,(1.8944253-1.8455181e-15j),115.29759
1.7727854,39.535664,39.21341,11015,0.60804456,30.575092,1988.023,1971.8186,(1.8939995-1.8165028e-15j),95.23843
1.6168851,47.531265,47.136242,11015,0.7309553,30.575184,1988.1888,1971.6654,(1.8935041-1.7552187e-15j),79.20353
1.4686666,57.606293,57.13494,11015,0.88595027,30.575653,1988.0913,1971.8241,(1.8928794-1.6221327e-15j),65.32649
1.3478327,68.43498,67.82937,11018,1.0521373,30.58189,1989.1617,1971.5587,(1.8922105-1.4537399e-15j),54.999836
1.2268592,82.541916,81.83414,11012,1.2691933,30.5659,1987.8516,1970.8063,(1.8913332-1.1637237e-15j),45.548855
1.1082546,101.15768,100.33116,11015,1.5557525,30.573107,1987.9154,1971.673,(1.8901793-6.856633e-16j),37.145145
1.0377573,115.53405,114.274704,11015,1.7744191,30.575094,1990.7723,1969.0725,(1.8892983-5.5194356e-16j),32.554585
