infid^{-1},5_Character,5_Cross_Character,Sample#,Variance,Variance(amp),5_Character(amp),5_Cross_Character(amp),unamed1,unamed2
101.65915,0.004714275,0.004612454,4978,8.357096e-05,13.818736,779.521,762.68463,(0.7529917+9.586465e-16j),124509.68
92.38962,0.0057050753,0.0055817305,4852,9.8609526e-05,13.467445,779.1619,762.3163,(0.7529915+7.994849e-16j),102838.664
83.752914,0.0070010507,0.0068560466,4785,0.000118340104,13.281643,785.7476,769.4734,(0.7529913+5.822898e-16j),84510.336
78.07859,0.007820204,0.007618562,4583,0.0001304367,12.722831,762.7848,743.1166,(0.75299114+4.2781776e-16j),73446.95
69.40478,0.010189269,0.009978691,4630,0.00016676431,12.852919,785.311,769.08124,(0.7529908+1.67244e-16j),58034.777
63.488255,0.012114067,0.0118557075,4552,0.00019592601,12.635687,781.262,764.5999,(0.7529905-5.9809936e-17j),48561.965
57.374676,0.01497156,0.014664845,4543,0.00023942761,12.61057,788.54694,772.39233,(0.75299007-3.3804068e-16j),39659.727
53.249847,0.016971886,0.016573546,4402,0.00026935586,12.220336,769.99304,751.9209,(0.75298965-5.6035173e-16j),34162.19
47.806236,0.021414865,0.020965254,4442,0.0003371927,12.330117,783.07684,766.6359,(0.75298905-9.048939e-16j),27534.533
43.372826,0.02610273,0.025563033,4429,0.0004084553,12.29419,785.67206,769.4276,(0.7529883-1.2811263e-15j),22664.367
39.38637,0.031777136,0.031126175,4423,0.0004947033,12.278823,788.7269,772.5697,(0.7529874-1.6368417e-15j),18689.584
36.406044,0.0365348,0.035685934,4325,0.00056609017,12.004736,774.77167,756.77026,(0.75298655-2.0942536e-15j),15968.136
32.685585,0.046059776,0.045111906,4382,0.00071160827,12.163918,787.3255,771.123,(0.7529851-2.4123814e-15j),12871.195
30.131603,0.05347994,0.052288204,4309,0.00082349277,11.962563,776.8825,759.5706,(0.75298387-3.0328095e-15j),10938.307
27.115395,0.066707656,0.06532124,4344,0.0010250856,12.059017,784.74304,768.43335,(0.75298184-3.5341507e-15j),8858.013
24.82832,0.07909609,0.07740311,4309,0.0012127715,11.96172,780.1348,763.4368,(0.7529799-3.991953e-15j),7426.737
22.408703,0.09823975,0.0962312,4354,0.0015043011,12.086155,789.29736,773.15985,(0.752977-4.6912517e-15j),6049.718
20.524446,0.11603493,0.113586836,4307,0.0017738602,11.9559,782.0808,765.58057,(0.7529741-5.291838e-15j),5075.08
18.595152,0.14227079,0.13934717,4331,0.0021729663,12.021882,787.1096,770.93475,(0.7529701-5.791163e-15j),4165.788
16.959908,0.17046785,0.16692239,4312,0.002600835,11.969604,784.52985,768.2129,(0.75296557-7.092904e-15j),3465.31
15.420462,0.20672312,0.2024449,4320,0.0031516734,11.991016,786.5093,770.2321,(0.75295997-8.1688256e-15j),2864.7495
14.256157,0.23781888,0.23237738,4240,0.003619284,11.7692175,773.34143,755.6467,(0.7529545-9.074359e-15j),2448.4636
12.87393,0.29369706,0.28732353,4270,0.0044698664,11.853233,778.8286,761.92725,(0.7529459-1.0222649e-14j),1996.669
11.616889,0.364724,0.35723364,4319,0.0055518686,11.9877825,787.5244,771.351,(0.75293535-1.1037481e-14j),1625.7635
10.563641,0.442106,0.43305597,4327,0.0067276247,12.011824,789.35724,773.19885,(0.7529233-1.2610366e-14j),1344.3053
9.62567,0.53139853,0.52048486,4317,0.008083537,11.983492,787.77515,771.5961,(0.75290924-1.4307035e-14j),1116.1552
8.773905,0.6387275,0.6255395,4310,0.0097130975,11.963648,786.72235,770.47864,(0.7528924-1.4268124e-14j),927.33954
7.9722457,0.77536756,0.75947815,4319,0.011789603,11.988932,788.4768,772.3188,(0.75287116-1.6749135e-14j),765.6001
7.301616,0.9150385,0.89563316,4273,0.013904639,11.860902,780.544,763.9909,(0.7528479-1.9075273e-14j),642.19257
6.7153993,1.0752411,1.0513133,4244,0.01632717,11.780794,775.8352,758.5702,(0.7528216-1.925584e-14j),543.19495
6.01562,1.3617247,1.3338016,4317,0.020696027,11.983062,788.4427,772.27515,(0.7527796-2.2006334e-14j),435.86163
5.472431,1.6463747,1.6126772,4319,0.02502036,11.988758,788.8771,772.7306,(0.75273526-2.4693882e-14j),360.6807
5.0006366,1.9595149,1.9187539,4291,0.029769965,11.911019,784.0056,767.6971,(0.7526844-2.6122677e-14j),301.15045
4.5341573,2.3990846,2.3500147,4320,0.036454365,11.9912,789.14844,773.0075,(0.75261784-2.9773127e-14j),247.56409
