infid^{-1},5_Character,5_Cross_Character,Sample#,Variance,Variance(amp),5_Character(amp),5_Cross_Character(amp),unamed1,unamed2
100.8125,0.010513049,0.01041326,9649,0.00016469831,26.781685,1709.5327,1693.3062,(1.631455+2.373879e-16j),265291.8
92.39929,0.012504054,0.012376873,9607,0.00019521211,26.666374,1708.0793,1690.7062,(1.6314547+1.6842083e-16j),222860.05
85.550026,0.014575576,0.014399989,9568,0.00022680542,26.559122,1706.8134,1686.2518,(1.6314546+1.6656453e-16j),191044.83
77.29868,0.017867312,0.01765981,9553,0.00027735942,26.515945,1708.1399,1688.3024,(1.6314543+1.02540194e-16j),155969.3
69.358,0.022205777,0.021993613,9547,0.0003442788,26.49863,1709.1459,1692.8159,(1.6314541+3.8706815e-17j),125570.62
63.124924,0.026812503,0.026557382,9533,0.00041504082,26.461384,1709.4606,1693.1951,(1.6314538-1.9957368e-17j),104015.125
57.674274,0.03209167,0.03177832,9511,0.0004960597,26.40087,1707.9557,1691.2788,(1.6314534-7.089662e-17j),86827.83
52.33525,0.03899431,0.038619746,9506,0.00060211326,26.386805,1708.8732,1692.4585,(1.6314528-1.4860556e-16j),71496.23
48.287956,0.0457301,0.04522668,9477,0.0007050607,26.304144,1706.0815,1687.3002,(1.6314523-2.0493828e-16j),60865.617
43.35579,0.05682283,0.05627337,9491,0.0008759009,26.343237,1708.9801,1692.4548,(1.6314516-3.5026202e-16j),49066.87
39.38221,0.06891898,0.06826748,9493,0.0010617905,26.34869,1710.2478,1694.0806,(1.6314507-2.9800607e-16j),40485.0
35.874817,0.083027765,0.082239844,9484,0.0012784692,26.326288,1709.7109,1693.4861,(1.6314497-3.937406e-16j),33594.875
33.72047,0.09396534,0.0926152,9457,0.001442907,26.250984,1709.523,1684.9597,(1.6314489-5.965317e-16j),29681.15
29.889927,0.119481325,0.1182891,9465,0.0018379053,26.27198,1707.9286,1690.8862,(1.6314471-6.1737283e-16j),23320.758
27.1901,0.1444222,0.1430226,9466,0.0022212053,26.274246,1708.3448,1691.7892,(1.6314453-9.756507e-16j),19298.08
24.760569,0.17417273,0.17235157,9461,0.0026770697,26.26037,1708.5249,1690.6605,(1.6314431-9.163958e-16j),16003.432
22.741337,0.20613848,0.20388019,9441,0.0031669745,26.205746,1705.7329,1687.0463,(1.6314408-1.1554757e-15j),13499.674
20.505482,0.2539141,0.25145042,9459,0.003902711,26.255863,1708.2314,1691.6569,(1.6314374-1.2144596e-15j),10975.652
18.586954,0.30929703,0.3063714,9467,0.0047538555,26.2774,1709.6693,1693.4977,(1.6314334-1.4411738e-15j),9017.906
16.91139,0.37365076,0.37011784,9466,0.005742305,26.276342,1709.7969,1693.6305,(1.6314287-1.830389e-15j),7465.291
15.4755945,0.44570476,0.44133353,9453,0.006847762,26.239971,1707.8981,1691.148,(1.6314236-1.7878477e-15j),6251.4595
