infid^{-1},5_Character,5_Cross_Character,Sample#,Variance,Variance(amp),5_Character(amp),5_Cross_Character(amp),unamed1,unamed2
100.81129,0.012692761,0.0125931185,11431,0.00019511889,31.72763,2063.9275,2047.7249,(1.9691085+0j),320190.16
93.69815,0.014732,0.014577659,11447,0.00022619365,31.773308,2069.3967,2047.7164,(1.9691083+0j),276599.66
87.65526,0.01687703,0.016657367,11463,0.00025882063,31.81814,2074.7793,2047.7751,(1.9691082+0j),242072.52
76.15519,0.022243058,0.022067819,11435,0.00034203916,31.739115,2064.018,2047.7568,(1.9691079+0j),182721.02
69.454765,0.026746029,0.02653177,11437,0.00041128614,31.744478,2064.3503,2047.8132,(1.9691076+0j),151982.5
64.3419,0.03125175,0.030915756,11453,0.00047993928,31.790262,2070.0564,2047.8008,(1.9691073+0j),130429.914
58.034176,0.038327105,0.03800297,11441,0.00058930734,31.75627,2065.3499,2047.8832,(1.9691069+0j),106110.15
52.225773,0.04729553,0.046924412,11437,0.0007274604,31.74674,2064.0007,2047.805,(1.9691063+0j),85932.79
47.57159,0.05700574,0.056557067,11438,0.0008768351,31.749235,2064.1152,2047.8693,(1.9691057+0j),71299.16
43.703415,0.067585096,0.06701186,11442,0.0010392718,31.759953,2065.388,2047.87,(1.9691051+0j),60175.484
39.878815,0.081216626,0.08048357,11446,0.001248577,31.770185,2066.5664,2047.9137,(1.9691043+0j),50104.086
35.972965,0.09970865,0.098908804,11440,0.0015336666,31.754366,2064.4546,2047.8938,(1.9691032+0j),40770.023
32.70763,0.12059866,0.1196451,11440,0.0018551236,31.753458,2064.2422,2047.9205,(1.969102+0j),33704.387
29.7595,0.14567326,0.14452484,11440,0.0022408934,31.753561,2064.1965,2047.9235,(1.9691005+0j),27902.242
27.19054,0.17454949,0.17312405,11442,0.0026847462,31.75842,2064.7822,2047.9203,(1.9690988+0j),23292.879
24.857712,0.20901975,0.2071451,11446,0.0032136727,31.771955,2066.4727,2047.9387,(1.9690968+0j),19467.463
22.420801,0.25663537,0.25462157,11440,0.003948009,31.75414,2064.138,2047.9408,(1.9690939+0j),15837.573
20.450094,0.30851516,0.30605933,11441,0.0047458746,31.756077,2064.368,2047.9352,(1.9690908+0j),13175.78
18.838528,0.36408776,0.3606661,11449,0.005596745,31.779673,2067.3784,2047.9495,(1.9690875+0j),11180.956
17.04579,0.4443463,0.44052106,11445,0.0068332064,31.767185,2065.7407,2047.9573,(1.9690827+0j),9154.153
15.395798,0.5442666,0.54000044,11440,0.008373048,31.754694,2064.125,2047.9457,(1.9690768+0j),7467.702
14.303657,0.6318195,0.6256176,11452,0.009710383,31.787066,2068.2695,2047.9675,(1.9690715+0j),6445.7817
12.857898,0.7807806,0.7742206,11444,0.0120082805,31.764402,2065.3274,2047.9747,(1.9690626+0j),5208.5806
11.700923,0.94317967,0.93489176,11446,0.014503185,31.770466,2066.1157,2047.9603,(1.9690529+0j),4313.3784
10.700206,1.1273589,1.1179368,11443,0.017339043,31.76357,2065.2205,2047.96,(1.9690418+0j),3607.108
9.669118,1.3805966,1.369081,11443,0.021234104,31.763453,2065.1926,2047.9667,(1.9690268+0j),2945.4075
8.799893,1.6664953,1.6529076,11442,0.025633771,31.760496,2064.8042,2047.9689,(1.9690098+0j),2439.6226
7.972454,2.0297382,2.0138192,11441,0.031225992,31.755596,2064.1633,2047.9742,(1.9689881+0j),2002.3827
7.262669,2.4459734,2.4266772,11441,0.03762862,31.756367,2064.2593,2047.9745,(1.9689631+0j),1661.6903
6.6033287,2.9586983,2.9354937,11441,0.045517404,31.755817,2064.175,2047.986,(1.9689325+0j),1373.6517
6.053682,3.521957,3.4927406,11443,0.054170493,31.763033,2065.11,2047.979,(1.968899+0j),1154.4698
5.6218185,4.094102,4.049986,11458,0.06289246,31.8033,2070.2952,2047.9867,(1.9688655+0j),995.61096
5.0990577,4.9719415,4.922975,11452,0.07641306,31.788311,2068.3586,2047.9884,(1.968813+0j),819.0385
4.600696,6.1005135,6.047272,11446,0.093810566,31.770119,2066.015,2047.9841,(1.9687452+0j),666.7401
4.130654,7.5613804,7.50188,11441,0.11632498,31.756348,2064.2327,2047.9893,(1.9686577+0j),537.43726
3.791206,8.981537,8.9053955,11444,0.13813078,31.766195,2065.501,2047.9905,(1.9685735+0j),452.71652
3.4297683,10.968832,10.8812275,11442,0.16873565,31.758238,2064.4763,2047.9882,(1.9684544+0j),370.48865
3.1221058,13.237162,13.131453,11442,0.20362991,31.758265,2064.477,2047.9906,(1.968319+0j),306.98044
2.838454,16.013409,15.887107,11441,0.24634963,31.756718,2064.2747,2047.9932,(1.9681532+0j),253.71294
2.580517,19.373755,19.221836,11441,0.2980519,31.755966,2064.1785,2047.9923,(1.9679526+0j),209.67569
2.370292,22.977398,22.782688,11444,0.35337973,31.766203,2065.4968,2047.9939,(1.9677384+0j),176.88501
2.1472013,27.988594,27.76279,11442,0.4305366,31.759645,2064.6511,2047.994,(1.9674387+0j),145.13321
1.9513414,33.88296,33.615715,11441,0.5212541,31.756746,2064.2764,2047.9949,(1.9670866+0j),119.842255
1.800404,39.875145,39.488358,11452,0.6128818,31.786055,2068.0557,2047.9955,(1.9667331+0j),102.00121
1.6132863,49.568863,49.17972,11441,0.7625796,31.756165,2064.2002,2047.9951,(1.9661499+0j),81.87654
1.4699576,59.70668,59.237877,11441,0.9185417,31.756199,2064.2036,2047.996,(1.9655448+0j),67.95361
1.3522732,70.611496,69.99713,11446,1.085843,31.769905,2065.9714,2047.9962,(1.9648974+0j),57.489532
1.231481,85.16057,84.40224,11447,1.3094406,31.773216,2066.3977,2047.9971,(1.9640306+0j),47.656662
1.1162543,103.59331,102.72658,11444,1.5932937,31.76451,2065.2756,2047.9961,(1.9629279+0j),39.13368
