infid^{-1},5_Character,5_Cross_Character,Sample#,Variance,Variance(amp),5_Character(amp),5_Cross_Character(amp),unamed1,unamed2
101.11508,0.003705868,0.0036065227,4105,6.965491e-05,11.394717,606.2361,589.9843,(0.5821998-1.1898926e-16j),95240.984
95.13374,0.0040621497,0.003927726,3902,7.480953e-05,10.832933,588.2271,568.76166,(0.58219975-3.5367818e-17j),84306.516
84.025566,0.0053291298,0.0051835566,3830,9.412792e-05,10.633135,602.00366,585.5591,(0.5821995-5.5538905e-17j),65768.01
77.37855,0.006228373,0.0060482174,3714,0.00010760725,10.30867,596.67206,579.4133,(0.5821993-3.6284307e-17j),55774.12
69.22836,0.007947077,0.007736591,3693,0.00013370004,10.252259,609.3902,593.24994,(0.582199-1.6684431e-17j),44643.63
63.24629,0.009452835,0.009197011,3605,0.00015637708,10.008366,604.9955,588.6224,(0.5821987+6.1939342e-18j),37261.582
58.319427,0.010892974,0.010574486,3487,0.0001778817,9.680053,592.7792,575.4476,(0.5821983+2.72804e-17j),31682.354
52.32187,0.013855154,0.013484719,3516,0.00022285867,9.761487,606.873,590.6475,(0.5821978+8.517187e-17j),25500.988
47.66444,0.016675793,0.016229333,3476,0.0002654266,9.648359,606.17145,589.9425,(0.5821972+1.3380185e-16j),21163.09
43.42312,0.020049827,0.019510131,3438,0.00031632363,9.54319,604.8847,588.60254,(0.58219653+8.905543e-17j),17564.33
39.777172,0.02369288,0.023024242,3384,0.00037102634,9.392745,599.7988,582.8719,(0.5821957+1.2616685e-16j),14738.618
35.951073,0.029292153,0.028506167,3396,0.00045584177,9.42666,605.75226,589.4983,(0.5821946+1.7750245e-16j),12039.596
32.802082,0.035050616,0.034100525,3365,0.0005426552,9.342149,603.41833,587.0619,(0.58219343+1.31164524e-17j),10022.825
29.754856,0.042897202,0.04175437,3374,0.0006612805,9.36745,607.6656,591.4766,(0.5821919+2.497713e-16j),8247.11
27.238216,0.050607525,0.04921184,3323,0.0007771864,9.225767,600.7481,584.1803,(0.5821902+8.5933756e-17j),6911.021
24.764004,0.061535336,0.059854873,3330,0.00094223535,9.245301,603.79047,587.30164,(0.58218807+4.3445135e-16j),5712.484
22.412952,0.07582045,0.073810644,3354,0.0011583983,9.310566,609.4029,593.24915,(0.58218527+1.6297685e-16j),4679.283
20.51323,0.0895838,0.08713106,3312,0.0013653926,9.192752,603.1391,586.6256,(0.5821823+5.510603e-16j),3919.6475
18.592844,0.10998703,0.1070647,3336,0.0016741253,9.259758,608.3495,592.1858,(0.58217835+5.2805315e-16j),3220.088
16.934265,0.13234478,0.12881319,3325,0.0020114784,9.229284,607.2388,591.0347,(0.58217376+6.9248385e-16j),2671.193
15.897059,0.14571956,0.14093366,3212,0.0022055097,8.917899,589.2118,569.86017,(0.5821701+8.021494e-16j),2353.984
14.10419,0.18913507,0.18394595,3288,0.0028672945,9.12617,601.9887,585.4725,(0.5821619+9.8762e-16j),1852.9343
12.785485,0.23183632,0.22561847,3310,0.0035129974,9.188238,606.36743,590.1047,(0.58215356+5.7828464e-16j),1522.6215
11.624012,0.28143746,0.27395388,3319,0.0042623566,9.214714,608.43475,592.2561,(0.5821436+6.543915e-16j),1258.5261
10.693112,0.32706895,0.3178516,3260,0.0049460693,9.048747,598.36694,581.50397,(0.58213323+1.3217538e-15j),1065.0026
9.672229,0.40322605,0.3922508,3288,0.006098275,9.128095,603.5617,587.1336,(0.5821183+1.8409052e-15j),871.3334
8.948068,0.46362835,0.44982418,3230,0.006999007,8.966335,593.9482,576.2638,(0.58210444+1.2621493e-15j),745.7263
7.9703555,0.59919703,0.58331275,3317,0.0090598045,9.208612,609.0389,592.89374,(0.58207935+9.179518e-16j),591.6401
7.2792945,0.71521705,0.69606483,3301,0.010809227,9.164171,606.3682,590.13074,(0.5820553+1.0606865e-15j),493.47232
6.634788,0.85641825,0.8331262,3282,0.012936824,9.11175,603.1982,586.7929,(0.58202565+1.656758e-15j),409.93616
6.018469,1.0505217,1.0226383,3314,0.015873102,9.19928,608.8314,592.6715,(0.581988+1.1875033e-15j),337.292
5.541728,1.214879,1.1800294,3244,0.01832927,9.006491,596.9576,579.83344,(0.5819499+1.4442053e-15j),285.9539
5.002939,1.5092407,1.4684505,3288,0.022790315,9.126846,604.40625,588.071,(0.58189297+2.1830758e-15j),233.03091
4.5470333,1.8349577,1.7858611,3302,0.027711306,9.167127,607.019,590.77747,(0.5818281+1.3598584e-15j),192.4735
4.1310577,2.229222,2.1700096,3312,0.033667084,9.192803,608.68945,592.5215,(0.5817494+3.4388835e-15j),158.84677
3.7673004,2.6720922,2.600657,3300,0.04034758,9.162162,606.7809,590.5593,(0.581658+3.9026293e-15j),132.08337
3.42663,3.2366376,3.150524,3308,0.04887369,9.181836,608.06287,591.8848,(0.5815447+4.8035196e-15j),109.25404
3.125075,3.8722517,3.7678285,3290,0.058454134,9.133898,605.0685,588.7515,(0.581412+3.767731e-15j),90.85
2.8403292,4.7075973,4.582019,3305,0.071075946,9.174449,607.65436,591.44476,(0.58124596+2.474219e-15j),75.02695
2.5902119,5.6467533,5.4948025,3296,0.085239656,9.150234,606.1629,589.8514,(0.58105266+6.6348226e-15j),62.374348
2.3467152,6.93265,6.7494974,3323,0.10468478,9.224107,610.8577,594.71954,(0.5808021+3.1379754e-15j),51.176308
2.1915705,7.65549,7.413828,3190,0.11523366,8.855443,588.3069,569.7357,(0.5805971+4.8762154e-15j),44.617558
1.9649525,9.682739,9.408977,3250,0.14602572,9.020973,598.1668,581.25464,(0.5802059+2.8727436e-15j),35.843155
1.7862345,11.740535,11.41173,3257,0.17708556,9.040242,599.3559,582.5704,(0.5797868+2.6937602e-15j),29.598194
1.6257145,14.178676,13.783411,3258,0.21387301,9.044083,599.576,582.8613,(0.5792865+3.4908856e-15j),24.496384
1.4695615,17.590061,17.121275,3305,0.26554373,9.175538,607.80304,591.6047,(0.5786343+2.7583268e-15j),19.994001
1.3459893,20.730444,20.153282,3265,0.3127097,9.064515,600.9133,584.18317,(0.5779494+3.7320725e-15j),16.753017
1.2186728,25.569805,24.889046,3304,0.38600525,9.172494,607.6054,591.4288,(0.5770147+9.373531e-16j),13.711377
1.1147147,30.298153,29.467224,3274,0.4571408,9.08861,602.3704,585.8504,(0.57600236+1.8604238e-15j),11.451747
1.0191977,35.92256,34.901814,3243,0.54165834,9.002483,597.041,580.076,(0.5747861-9.135059e-16j),9.553074
