infid^{-1},5_Character,5_Cross_Character,Sample#,Variance,Variance(amp),5_Character(amp),5_Cross_Character(amp),unamed1,unamed2
101.116295,0.012618012,0.012517023,11431,0.00019395405,31.72935,2064.207,2047.686,(1.9691085-2.0668027e-22j),322130.56
92.24028,0.0151657555,0.015041948,11434,0.00023312775,31.73622,2064.5493,2047.6952,(1.9691082-1.7124888e-22j),268059.25
84.378426,0.018130323,0.017976457,11437,0.00027868352,31.746372,2065.3247,2047.7971,(1.9691081-1.3906587e-22j),224311.94
76.08577,0.02228307,0.022108417,11435,0.00034266166,31.738935,2063.9626,2047.7855,(1.9691079-8.211984e-23j),182388.03
69.58844,0.026646694,0.026430259,11437,0.00040973522,31.746618,2064.6074,2047.8379,(1.9691076-3.7824255e-23j),152568.06
63.381046,0.032125935,0.03186031,11439,0.0004939821,31.750458,2064.8787,2047.8058,(1.9691073+1.4450382e-23j),126563.4
57.380955,0.03917885,0.03887172,11437,0.00060259295,31.74531,2063.988,2047.8082,(1.9691068+7.4920064e-23j),103734.875
52.418316,0.046962235,0.046581503,11439,0.0007222389,31.751701,2064.595,2047.8569,(1.9691064+1.3610125e-22j),86567.586
47.51985,0.057127915,0.056680232,11438,0.0008787297,31.748661,2064.0417,2047.867,(1.9691057+2.0840398e-22j),71144.14
43.453594,0.068358764,0.06778446,11442,0.0010512127,31.758648,2065.2166,2047.8661,(1.9691051+2.5993323e-22j),59489.5
40.246643,0.08025804,0.079016715,11483,0.0012298622,31.873943,2080.0217,2047.8507,(1.9691044+3.5446633e-22j),51032.645
35.89792,0.100110814,0.09932232,11439,0.0015399652,31.75188,2064.1418,2047.8843,(1.9691032+4.5485033e-22j),40600.094
32.82853,0.119752035,0.11876481,11442,0.0018417886,31.758692,2064.932,2047.9087,(1.969102+5.6440345e-22j),33954.008
29.98673,0.14359936,0.14234184,11445,0.0022080233,31.767416,2066.002,2047.9097,(1.9691006+6.4862814e-22j),28329.97
27.05287,0.17627837,0.17489308,11440,0.002711757,31.75393,2064.1711,2047.9498,(1.9690987+7.899344e-22j),23057.604
24.858301,0.20902717,0.2071357,11447,0.003213658,31.773317,2066.6438,2047.943,(1.9690968+9.17739e-22j),19468.387
22.558876,0.25364363,0.25151384,11443,0.0039009105,31.762955,2065.2795,2047.9379,(1.969094+1.1167536e-21j),16033.242
20.974457,0.29390174,0.2909491,11453,0.0045163534,31.789913,2068.7288,2047.9457,(1.9690917+1.1237289e-21j),13860.132
18.657604,0.37075847,0.36769605,11443,0.005702535,31.761406,2065.0132,2047.9564,(1.9690871+1.5188825e-21j),10967.223
16.910624,0.45112324,0.44758865,11440,0.0069401097,31.754519,2064.1174,2047.945,(1.9690822+1.7827249e-21j),9009.549
15.472226,0.539286,0.5346813,11444,0.008293521,31.766146,2065.593,2047.9559,(1.969077+1.9332891e-21j),7542.031
14.057133,0.65308475,0.64774644,11442,0.0100454595,31.760204,2064.824,2047.946,(1.9690701+2.091267e-21j),6225.506
12.764998,0.791816,0.7855259,11441,0.012180794,31.756826,2064.3616,2047.9625,(1.9690619+2.4117378e-21j),5133.586
11.6659775,0.94814014,0.94050765,11442,0.014584838,31.75879,2064.5947,2047.975,(1.9690526+2.6937066e-21j),4287.653
